iso3,year,tenure,share
CRI,2019,tenant,0.1870
CRI,2020,other,0.0980
CRI,2020,owner,0.7230
CRI,2020,tenant,0.1790
CRI,2021,other,0.0830
CRI,2021,owner,0.7420
CRI,2021,tenant,0.1740
CRI,2022,other,0.0780
CRI,2022,owner,0.7400
CRI,2022,tenant,0.1820
CRI,2023,other,0.0730
CRI,2023,owner,0.7360
CRI,2023,tenant,0.1920
CRI,2024,other,0.0790
CRI,2024,owner,0.7330
CRI,2024,tenant,0.1880
DOM,2010,other,0.0930
DOM,2010,owner,0.6160
DOM,2010,tenant,0.2910
DOM,2011,other,0.0910
DOM,2011,owner,0.6100
DOM,2011,tenant,0.3000
DOM,2012,other,0.0920
DOM,2012,owner,0.6000
DOM,2012,tenant,0.3080
DOM,2013,other,0.0950
DOM,2013,owner,0.5820
DOM,2013,tenant,0.3220
DOM,2014,other,0.0840
DOM,2014,owner,0.5730
DOM,2014,tenant,0.3430
DOM,2015,other,0.0860
DOM,2015,owner,0.5690
DOM,2015,tenant,0.3460
DOM,2016,other,0.0950
DOM,2016,owner,0.5860
DOM,2016,tenant,0.3190
DOM,2017,other,0.1020
DOM,2017,owner,0.5770
DOM,2017,tenant,0.3220
DOM,2018,other,0.0980
DOM,2018,owner,0.5660
DOM,2018,tenant,0.3360
DOM,2019,other,0.0940
DOM,2019,owner,0.5560
DOM,2019,tenant,0.3500
DOM,2020,other,0.0910
DOM,2020,owner,0.5440
DOM,2020,tenant,0.3650
DOM,2021,other,0.1000
DOM,2021,owner,0.5220
DOM,2021,tenant,0.3780
DOM,2022,other,0.0960
DOM,2022,owner,0.5210
DOM,2022,tenant,0.3830
DOM,2023,other,0.0940
DOM,2023,owner,0.5070
DOM,2023,tenant,0.3990
DOM,2024,other,0.0970
DOM,2024,owner,0.5060
DOM,2024,tenant,0.3970
ECU,2010,other,0.1530
ECU,2010,owner,0.6740
ECU,2010,tenant,0.1730
ECU,2011,other,0.1360
ECU,2011,owner,0.6780
ECU,2011,tenant,0.1860
ECU,2012,other,0.1320
ECU,2012,owner,0.6920
ECU,2012,tenant,0.1760
ECU,2013,other,0.1400
ECU,2013,owner,0.6850
ECU,2013,tenant,0.1750
ECU,2014,other,0.1380
ECU,2014,owner,0.6940
ECU,2014,tenant,0.1680
ECU,2015,other,0.1390
ECU,2015,owner,0.6630
ECU,2015,tenant,0.1970
ECU,2016,other,0.1630
ECU,2016,owner,0.6630
ECU,2016,tenant,0.1740
ECU,2017,other,0.1630
ECU,2017,owner,0.6480
ECU,2017,tenant,0.1890
ECU,2018,other,0.1310
ECU,2018,owner,0.6950
ECU,2018,tenant,0.1750
ECU,2019,other,0.1410
ECU,2019,owner,0.6940
ECU,2019,tenant,0.1650
ECU,2020,other,0.1610
ECU,2020,owner,0.6920
ECU,2020,tenant,0.1480
ECU,2021,other,0.1620
ECU,2021,owner,0.6720
ECU,2021,tenant,0.1650
ECU,2022,other,0.1610
ECU,2022,owner,0.6780
ECU,2022,tenant,0.1610
ECU,2023,other,0.1550
ECU,2023,owner,0.6770
ECU,2023,tenant,0.1680
ECU,2024,other,0.1600
ECU,2024,owner,0.6750
ECU,2024,tenant,0.1650
GTM,2014,other,0.1170
GTM,2014,owner,0.7590
GTM,2014,tenant,0.1230
GTM,2023,other,0.1230
GTM,2023,owner,0.7580
GTM,2023,tenant,0.1190
HND,2010,other,0.1180
HND,2010,owner,0.7420
HND,2010,tenant,0.1410
HND,2011,other,0.1360
HND,2011,owner,0.7120
HND,2011,tenant,0.1530
HND,2012,other,0.1070
HND,2012,owner,0.7440
HND,2012,tenant,0.1490
HND,2013,other,0.0830
HND,2013,owner,0.7690
HND,2013,tenant,0.1480
HND,2014,other,0.1160
HND,2014,owner,0.7000
HND,2014,tenant,0.1840
HND,2015,other,0.1190
HND,2015,owner,0.7080
HND,2015,tenant,0.1740
HND,2016,other,0.1180
HND,2016,owner,0.7080
HND,2016,tenant,0.1730
HND,2018,other,0.0970
HND,2018,owner,0.7420
HND,2018,tenant,0.1610
HND,2019,other,0.0950
HND,2019,owner,0.7470
HND,2019,tenant,0.1580
HND,2022,other,0.0990
HND,2022,owner,0.7030
HND,2022,tenant,0.1980
HND,2023,other,0.1020
HND,2023,owner,0.7310
HND,2023,tenant,0.1660
HND,2024,other,0.1040
HND,2024,owner,0.7180
HND,2024,tenant,0.1780
MEX,2010,other,0.1450
MEX,2010,owner,0.7100
MEX,2010,tenant,0.1440
MEX,2012,other,0.1590
MEX,2012,owner,0.6850
MEX,2012,tenant,0.1550
MEX,2014,other,0.1570
MEX,2014,owner,0.7080
MEX,2014,tenant,0.1350
MEX,2016,other,0.1660
MEX,2016,owner,0.6890
MEX,2016,tenant,0.1450
MEX,2018,other,0.1670
MEX,2018,owner,0.6830
MEX,2018,tenant,0.1500
MEX,2020,other,0.1530
MEX,2020,owner,0.6960
