iso3,year,share
PAK,2021,0.0351
PAK,2024,0.0568
PAN,2014,0.1748
PAN,2017,0.1330
PAN,2021,0.1039
PAN,2024,0.1468
PER,2014,0.1796
PER,2017,0.1906
PER,2021,0.2194
PER,2024,0.2006
PHL,2014,0.1289
PHL,2017,0.1070
PHL,2021,0.1745
PHL,2024,0.0940
POL,2014,0.2681
POL,2017,0.3051
POL,2021,0.3191
POL,2024,0.1944
PRI,2014,0.2711
PRT,2014,0.2592
PRT,2017,0.2888
PRT,2021,0.3044
PRY,2017,0.1539
PRY,2021,0.1238
PRY,2024,0.1757
PSE,2014,0.0472
PSE,2017,0.0720
PSE,2021,0.0493
PSE,2024,0.0680
ROU,2014,0.1872
ROU,2017,0.1986
ROU,2021,0.1914
ROU,2024,0.2020
RUS,2014,0.2190
RUS,2017,0.2303
RUS,2021,0.2974
RWA,2014,0.0839
RWA,2017,0.0809
SAU,2014,0.1742
SAU,2017,0.2108
SAU,2021,0.3238
SAU,2024,0.3013
SDN,2014,0.0422
SEN,2014,0.0397
SEN,2017,0.0782
SEN,2021,0.0997
SEN,2024,0.1756
SGP,2014,0.3778
SGP,2017,0.4690
SGP,2021,0.4282
SLE,2014,0.0414
SLE,2017,0.0520
SLE,2021,0.0428
SLE,2024,0.0535
SLV,2014,0.2055
SLV,2017,0.1155
SLV,2021,0.1055
SLV,2024,0.1134
SOM,2014,0.0211
SRB,2014,0.1973
SRB,2017,0.1970
SRB,2021,0.2065
SRB,2024,0.2254
SSD,2017,0.0335
SSD,2021,0.0247
SVK,2014,0.2603
SVK,2017,0.2961
SVK,2021,0.3441
SVN,2014,0.3495
SVN,2017,0.4020
SVN,2021,0.4235
SWE,2014,0.4962
SWE,2017,0.4374
SWE,2021,0.4869
SWZ,2022,0.0963
SWZ,2024,0.0872
TCD,2014,0.0236
TCD,2017,0.0386
TCD,2022,0.0849
TCD,2024,0.0976
TGO,2014,0.0398
TGO,2017,0.0914
TGO,2021,0.0742
TGO,2024,0.1164
THA,2014,0.1795
THA,2017,0.2040
THA,2021,0.2826
THA,2024,0.1693
TJK,2014,0.0415
TJK,2017,0.1548
TJK,2021,0.1242
TJK,2024,0.1706
TKM,2017,0.0684
TTO,2017,0.2749
TUN,2014,0.1200
TUN,2017,0.1173
TUN,2021,0.0989
TUN,2024,0.0436
TUR,2014,0.3592
TUR,2017,0.4284
TUR,2021,0.3783
TUR,2024,0.4150
TZA,2014,0.0674
TZA,2017,0.0529
TZA,2021,0.0445
TZA,2024,0.0495
UGA,2014,0.1609
UGA,2017,0.1467
UGA,2021,0.1861
UGA,2024,0.1084
UKR,2014,0.2175
UKR,2017,0.2176
UKR,2021,0.3412
UKR,2024,0.2862
URY,2014,0.4449
URY,2017,0.4344
URY,2021,0.4201
USA,2014,0.6458
USA,2017,0.6836
USA,2021,0.6620
UZB,2014,0.0223
UZB,2017,0.0236
UZB,2021,0.0749
UZB,2024,0.1175
VEN,2014,0.2001
VEN,2017,0.2766
VEN,2021,0.0883
VEN,2024,0.1379
VNM,2014,0.1950
VNM,2017,0.2172
VNM,2022,0.1002
VNM,2024,0.0767
XKX,2014,0.1676
XKX,2017,0.1468
XKX,2021,0.1761
XKX,2024,0.0962
YEM,2014,0.0060
YEM,2022,0.0179
ZAF,2014,0.1891
ZAF,2017,0.1350
ZAF,2021,0.1821
ZAF,2024,0.1235
ZMB,2014,0.0565
ZMB,2017,0.1041
ZMB,2021,0.0675
ZMB,2024,0.0662
ZWE,2014,0.0433
ZWE,2017,0.0472
ZWE,2021,0.0289
ZWE,2024,0.0291
