iso3,year,tenure,share
CAN,2018,rent_private,0.308404
CAN,2019,own_mortgage,0.384249
CAN,2019,own_outright,0.311522
CAN,2019,rent_private,0.304230
CAN,2020,own_mortgage,0.384249
CAN,2020,own_outright,0.297061
CAN,2020,rent_private,0.318690
CAN,2021,own_mortgage,0.384162
CAN,2021,own_outright,0.297060
CAN,2021,rent_private,0.318778
CAN,2022,own_mortgage,0.382222
CAN,2022,own_outright,0.304434
CAN,2022,rent_private,0.313344
CHE,2010,other,0.019088
CHE,2010,own_mortgage,0.343878
CHE,2010,own_outright,0.051756
CHE,2010,rent_private,0.540214
CHE,2010,rent_subsidised,0.045064
CHE,2011,other,0.017417
CHE,2011,own_mortgage,0.338437
CHE,2011,own_outright,0.050272
CHE,2011,rent_private,0.556979
CHE,2011,rent_subsidised,0.036895
CHE,2012,other,0.016778
CHE,2012,own_mortgage,0.347216
CHE,2012,own_outright,0.054351
CHE,2012,rent_private,0.546679
CHE,2012,rent_subsidised,0.034976
CHE,2013,other,0.017134
CHE,2013,own_mortgage,0.347797
CHE,2013,own_outright,0.050033
CHE,2013,rent_private,0.551198
CHE,2013,rent_subsidised,0.033838
CHE,2014,other,0.014665
CHE,2014,own_mortgage,0.348756
CHE,2014,own_outright,0.053953
CHE,2014,rent_private,0.521448
CHE,2014,rent_subsidised,0.061178
CHE,2015,other,0.016444
CHE,2015,own_mortgage,0.332415
CHE,2015,own_outright,0.051571
CHE,2015,rent_private,0.533445
CHE,2015,rent_subsidised,0.066125
CHE,2016,other,0.015894
CHE,2016,own_mortgage,0.325257
CHE,2016,own_outright,0.048264
CHE,2016,rent_private,0.548958
CHE,2016,rent_subsidised,0.061626
CHE,2018,other,0.014400
CHE,2018,own_mortgage,0.331972
CHE,2018,own_outright,0.047695
CHE,2018,rent_private,0.550634
CHE,2018,rent_subsidised,0.055299
CHE,2019,other,0.016477
CHE,2019,own_mortgage,0.332851
CHE,2019,own_outright,0.041520
CHE,2019,rent_private,0.564290
CHE,2019,rent_subsidised,0.044862
CHE,2020,other,0.008983
CHE,2020,own_mortgage,0.334638
CHE,2020,own_outright,0.044935
CHE,2020,rent_private,0.554706
CHE,2020,rent_subsidised,0.056737
CHE,2021,other,0.007381
CHE,2021,own_mortgage,0.330401
CHE,2021,own_outright,0.044997
CHE,2021,rent_private,0.565127
CHE,2021,rent_subsidised,0.052095
CHE,2022,other,0.007789
CHE,2022,own_mortgage,0.335232
CHE,2022,own_outright,0.045515
CHE,2022,rent_private,0.555961
CHE,2022,rent_subsidised,0.055503
CHE,2023,other,0.006301
CHE,2023,own_mortgage,0.335061
CHE,2023,own_outright,0.046923
CHE,2023,rent_private,0.562317
CHE,2023,rent_subsidised,0.049398
CHL,2011,other,0.175615
CHL,2011,own_mortgage,0.128064
CHL,2011,own_outright,0.526601
CHL,2011,rent_private,0.169720
CHL,2013,other,0.168327
CHL,2013,own_mortgage,0.133348
CHL,2013,own_outright,0.512798
CHL,2013,rent_private,0.185527
CHL,2015,other,0.163516
CHL,2015,own_mortgage,0.122673
CHL,2015,own_outright,0.513600
CHL,2015,rent_private,0.200211
CHL,2017,other,0.176821
CHL,2017,own_mortgage,0.110255
CHL,2017,own_outright,0.493651
CHL,2017,rent_private,0.219272
CHL,2020,other,0.150756
CHL,2020,own_outright,0.617705
CHL,2020,rent_private,0.231539
CHL,2022,other,0.164549
CHL,2022,own_mortgage,0.127721
CHL,2022,own_outright,0.442528
CHL,2022,rent_private,0.265201
COL,2010,other,0.196228
COL,2010,own_mortgage,0.045515
COL,2010,own_outright,0.437403
COL,2010,rent_private,0.320854
COL,2011,other,0.194756
COL,2011,own_mortgage,0.045608
COL,2011,own_outright,0.432075
COL,2011,rent_private,0.327561
COL,2012,other,0.117179
COL,2012,own_mortgage,0.063554
COL,2012,own_outright,0.369518
COL,2012,rent_private,0.449750
COL,2013,other,0.116264
COL,2013,own_mortgage,0.061446
COL,2013,own_outright,0.372365
COL,2013,rent_private,0.449925
COL,2014,other,0.125163
COL,2014,own_mortgage,0.056439
COL,2014,own_outright,0.358003
COL,2014,rent_private,0.460395
COL,2015,other,0.125060
COL,2015,own_mortgage,0.057089
COL,2015,own_outright,0.348007
COL,2015,rent_private,0.469844
COL,2016,other,0.124871
COL,2016,own_mortgage,0.057073
COL,2016,own_outright,0.346817
COL,2016,rent_private,0.471239
COL,2017,other,0.123745
COL,2017,own_mortgage,0.055454
COL,2017,own_outright,0.336700
COL,2017,rent_private,0.484101
COL,2018,other,0.129122
COL,2018,own_mortgage,0.047318
COL,2018,own_outright,0.336530
COL,2018,rent_private,0.487031
COL,2019,other,0.127072
COL,2019,own_mortgage,0.053639
COL,2019,own_outright,0.328444
COL,2019,rent_private,0.490845
COL,2020,other,0.124302
COL,2020,own_mortgage,0.052457
COL,2020,own_outright,0.317739
COL,2020,rent_private,0.505502
COL,2021,other,0.128176
COL,2021,own_mortgage,0.047718
COL,2021,own_outright,0.307016
COL,2021,rent_private,0.517089
COL,2022,other,0.235869
COL,2022,own_mortgage,0.051134
COL,2022,own_outright,0.320636
COL,2022,rent_private,0.392360
COL,2023,other,0.238369
COL,2023,own_mortgage,0.050258
COL,2023,own_outright,0.311368
COL,2023,rent_private,0.400005
COL,2024,other,0.234217
COL,2024,own_mortgage,0.048529
COL,2024,own_outright,0.310563
COL,2024,rent_private,0.406691
CRI,2010,other,0.089260
CRI,2010,own_mortgage,0.081463
CRI,2010,own_outright,0.622985
CRI,2010,rent_private,0.206292
CRI,2011,other,0.091920
CRI,2011,own_mortgage,0.089279
CRI,2011,own_outright,0.613002
CRI,2011,rent_private,0.205799
CRI,2012,other,0.091992
CRI,2012,own_mortgage,0.078037
CRI,2012,own_outright,0.622206
CRI,2012,rent_private,0.207765
CRI,2013,other,0.087035
CRI,2013,own_mortgage,0.085547
CRI,2013,own_outright,0.625535
CRI,2013,rent_private,0.201883
CRI,2014,other,0.088861
CRI,2014,own_mortgage,0.099565
CRI,2014,own_outright,0.622564
CRI,2014,rent_private,0.189010
CRI,2015,other,0.108702
CRI,2015,own_mortgage,0.105600
CRI,2015,own_outright,0.600499
CRI,2015,rent_private,0.185200
CRI,2016,other,0.101116
CRI,2016,own_mortgage,0.099852
CRI,2016,own_outright,0.612383
CRI,2016,rent_private,0.186649
