iso3,year,measure,sex,value
SVN,2014,occupational_income,_Z,0
SVN,2014,public_income,_Z,74.7
SVN,2016,occupational_income,_Z,0
SVN,2016,public_income,_Z,74.8
SVN,2018,occupational_income,_Z,0
SVN,2018,public_income,_Z,73.1
SVN,2020,occupational_income,_Z,0
SVN,2020,public_income,_Z,72.4
SVN,2022,occupational_income,_Z,0
SVN,2022,public_income,_Z,71.7
SVN,2024,pension_age,F,62
SVN,2024,pension_age,M,62
SVN,2024,replacement_rate,F,45.9
SVN,2024,replacement_rate,M,45.9
SWE,2014,occupational_income,_Z,17.4
SWE,2014,public_income,_Z,53.3
SWE,2016,occupational_income,_Z,17.8
SWE,2016,public_income,_Z,52.4
SWE,2018,occupational_income,_Z,18.6
SWE,2018,public_income,_Z,52.2
SWE,2020,occupational_income,_Z,19
SWE,2020,public_income,_Z,51.6
SWE,2022,occupational_income,_Z,18.4
SWE,2022,public_income,_Z,50.3
SWE,2024,pension_age,F,66
SWE,2024,pension_age,M,66
SWE,2024,replacement_rate,F,63.7
SWE,2024,replacement_rate,M,63.7
TUR,2014,occupational_income,_Z,37.2
TUR,2014,public_income,_Z,15.1
TUR,2016,occupational_income,_Z,37.1
TUR,2016,public_income,_Z,14.9
TUR,2018,occupational_income,_Z,0
TUR,2018,public_income,_Z,54.1
TUR,2020,occupational_income,_Z,0
TUR,2020,public_income,_Z,57.3
TUR,2022,occupational_income,_Z,0
TUR,2022,public_income,_Z,50.5
TUR,2024,pension_age,F,49
TUR,2024,pension_age,M,52
TUR,2024,replacement_rate,F,66.4
TUR,2024,replacement_rate,M,69.1
USA,2014,occupational_income,_Z,8.1
USA,2014,public_income,_Z,42.8
USA,2016,occupational_income,_Z,7.6
USA,2016,public_income,_Z,41.3
USA,2018,occupational_income,_Z,7.6
USA,2018,public_income,_Z,41.3
USA,2020,occupational_income,_Z,5.5
USA,2020,public_income,_Z,39.3
USA,2022,occupational_income,_Z,5.4
USA,2022,public_income,_Z,38.3
USA,2024,pension_age,F,66.7
USA,2024,pension_age,M,66.7
USA,2024,replacement_rate,F,39.7
USA,2024,replacement_rate,M,39.7
ZAF,2024,pension_age,F,60
ZAF,2024,pension_age,M,60
ZAF,2024,replacement_rate,F,7.8
ZAF,2024,replacement_rate,M,7.8
