iso3,year,measure,sex,value
LTU,2024,pension_age,M,64.7
LTU,2024,replacement_rate,F,17.4
LTU,2024,replacement_rate,M,17.4
LUX,2014,occupational_income,_Z,0
LUX,2014,public_income,_Z,82.4
LUX,2016,occupational_income,_Z,0
LUX,2016,public_income,_Z,82.6
LUX,2018,occupational_income,_Z,0
LUX,2018,public_income,_Z,85.7
LUX,2020,occupational_income,_Z,0
LUX,2020,public_income,_Z,83.1
LUX,2022,occupational_income,_Z,0
LUX,2022,public_income,_Z,78.1
LUX,2024,pension_age,F,62
LUX,2024,pension_age,M,62
LUX,2024,replacement_rate,F,75.6
LUX,2024,replacement_rate,M,75.6
LVA,2014,occupational_income,_Z,0
LVA,2014,public_income,_Z,58.5
LVA,2016,occupational_income,_Z,0
LVA,2016,public_income,_Z,57.1
LVA,2018,occupational_income,_Z,0
LVA,2018,public_income,_Z,55.9
LVA,2020,occupational_income,_Z,0
LVA,2020,public_income,_Z,57.3
LVA,2022,occupational_income,_Z,0
LVA,2022,public_income,_Z,58.2
LVA,2024,pension_age,F,64.8
LVA,2024,pension_age,M,64.8
LVA,2024,replacement_rate,F,38.7
LVA,2024,replacement_rate,M,38.7
MEX,2014,occupational_income,_Z,23.7
MEX,2014,public_income,_Z,7.7
MEX,2016,occupational_income,_Z,27.1
MEX,2016,public_income,_Z,6.1
MEX,2018,occupational_income,_Z,26.3
MEX,2018,public_income,_Z,5.1
MEX,2020,occupational_income,_Z,27.8
MEX,2020,public_income,_Z,9.7
MEX,2022,occupational_income,_Z,26.4
MEX,2022,public_income,_Z,13
MEX,2024,pension_age,F,65
MEX,2024,pension_age,M,65
MEX,2024,replacement_rate,F,69.6
MEX,2024,replacement_rate,M,69.6
MLT,2024,pension_age,F,64
MLT,2024,pension_age,M,64
MLT,2024,replacement_rate,F,58.1
MLT,2024,replacement_rate,M,58.1
NLD,2014,occupational_income,_Z,37.7
NLD,2014,public_income,_Z,43.7
NLD,2016,occupational_income,_Z,39.1
NLD,2016,public_income,_Z,45.2
NLD,2018,occupational_income,_Z,39.1
NLD,2018,public_income,_Z,45.2
NLD,2020,occupational_income,_Z,39.6
NLD,2020,public_income,_Z,42.7
NLD,2022,occupational_income,_Z,38.9
NLD,2022,public_income,_Z,40.3
NLD,2024,pension_age,F,67
NLD,2024,pension_age,M,67
NLD,2024,replacement_rate,F,74.7
NLD,2024,replacement_rate,M,74.7
NOR,2014,occupational_income,_Z,13.8
NOR,2014,public_income,_Z,59.2
NOR,2016,occupational_income,_Z,13.9
NOR,2016,public_income,_Z,60.4
NOR,2018,occupational_income,_Z,14
NOR,2018,public_income,_Z,60.1
NOR,2020,occupational_income,_Z,14.2
NOR,2020,public_income,_Z,57.8
NOR,2022,occupational_income,_Z,14.7
NOR,2022,public_income,_Z,59.1
NOR,2024,pension_age,F,67
NOR,2024,pension_age,M,67
NOR,2024,replacement_rate,F,46.1
NOR,2024,replacement_rate,M,46.1
NZL,2014,occupational_income,_Z,0
NZL,2014,public_income,_Z,41.7
NZL,2016,occupational_income,_Z,0
NZL,2016,public_income,_Z,41.7
NZL,2018,occupational_income,_Z,0
NZL,2018,public_income,_Z,41.7
NZL,2020,occupational_income,_Z,0
NZL,2020,public_income,_Z,46.1
NZL,2022,occupational_income,_Z,0
NZL,2022,public_income,_Z,45.1
NZL,2024,pension_age,F,65
NZL,2024,pension_age,M,65
NZL,2024,replacement_rate,F,39.5
NZL,2024,replacement_rate,M,39.5
POL,2014,occupational_income,_Z,0
POL,2014,public_income,_Z,70.4
POL,2016,occupational_income,_Z,0
POL,2016,public_income,_Z,69.8
POL,2018,occupational_income,_Z,0
POL,2018,public_income,_Z,65.8
POL,2020,occupational_income,_Z,0
POL,2020,public_income,_Z,65.7
POL,2022,occupational_income,_Z,0
POL,2022,public_income,_Z,61
POL,2024,pension_age,F,60
POL,2024,pension_age,M,65
POL,2024,replacement_rate,F,22.4
POL,2024,replacement_rate,M,28.6
PRT,2014,occupational_income,_Z,0
PRT,2014,public_income,_Z,78.3
PRT,2016,occupational_income,_Z,0
PRT,2016,public_income,_Z,77.4
PRT,2018,occupational_income,_Z,0
PRT,2018,public_income,_Z,76.6
PRT,2020,occupational_income,_Z,0
PRT,2020,public_income,_Z,74.7
PRT,2022,occupational_income,_Z,0
PRT,2022,public_income,_Z,68.9
PRT,2024,pension_age,F,65.3
PRT,2024,pension_age,M,65.3
PRT,2024,replacement_rate,F,72.4
PRT,2024,replacement_rate,M,72.4
ROU,2024,pension_age,F,62.2
ROU,2024,pension_age,M,65
ROU,2024,replacement_rate,F,53.8
ROU,2024,replacement_rate,M,52.2
SAU,2024,pension_age,F,47
SAU,2024,pension_age,M,47
SAU,2024,replacement_rate,F,70.2
SAU,2024,replacement_rate,M,70.2
SVK,2014,occupational_income,_Z,0
SVK,2014,public_income,_Z,71.5
SVK,2016,occupational_income,_Z,0
SVK,2016,public_income,_Z,67.1
SVK,2018,occupational_income,_Z,0
SVK,2018,public_income,_Z,66.8
SVK,2020,occupational_income,_Z,0
SVK,2020,public_income,_Z,63.9
SVK,2022,occupational_income,_Z,0
SVK,2022,public_income,_Z,59.3
SVK,2024,pension_age,F,63.2
SVK,2024,pension_age,M,63.2
SVK,2024,replacement_rate,F,58
SVK,2024,replacement_rate,M,58
