iso3,year,activity,item,value,unit_mult
AUT,2019,M72,B1G,1689.463,6
AUT,2019,M73,B1G,1715.462,6
AUT,2019,M73T75,B1G,2814.494,6
AUT,2019,M74_75,B1G,1099.032,6
AUT,2019,N,B1G,16154.754,6
AUT,2019,N77,B1G,4566.71,6
AUT,2019,N78,B1G,4470.222,6
AUT,2019,N79,B1G,620.132,6
AUT,2019,N80T82,B1G,6497.69,6
AUT,2019,O,B1G,17875.302,6
AUT,2019,P,B1G,18742.071,6
AUT,2019,Q,B1G,26894.926,6
AUT,2019,Q86,B1G,19936.082,6
AUT,2019,Q87_88,B1G,6958.844,6
AUT,2019,R,B1G,3833.007,6
AUT,2019,R90T92,B1G,2560.192,6
AUT,2019,R93,B1G,1272.815,6
AUT,2019,S,B1G,5250.418,6
AUT,2019,S94,B1G,2767.454,6
AUT,2019,S95,B1G,161.22,6
AUT,2019,S96,B1G,2321.743,6
AUT,2019,T,B1G,135.925,6
AUT,2019,_T,B1G,352742.587,6
AUT,2020,A,B1G,4074.654,6
AUT,2020,A01,B1G,3173.003,6
AUT,2020,A02,B1G,865.968,6
AUT,2020,A03,B1G,35.683,6
AUT,2020,B,B1G,758.738,6
AUT,2020,C,B1G,63122.6,6
AUT,2020,C10T12,B1G,7017.115,6
AUT,2020,C13T15,B1G,905.536,6
AUT,2020,C16,B1G,2923.309,6
AUT,2020,C16T18,B1G,5718.15,6
AUT,2020,C17,B1G,2077.749,6
AUT,2020,C18,B1G,717.092,6
AUT,2020,C19,B1G,370.923,6
AUT,2020,C20,B1G,3191.087,6
AUT,2020,C21,B1G,2703.545,6
AUT,2020,C22,B1G,2541.025,6
AUT,2020,C22_23,B1G,5118.644,6
AUT,2020,C23,B1G,2577.618,6
AUT,2020,C24,B1G,3711.593,6
AUT,2020,C24_25,B1G,10116.039,6
AUT,2020,C25,B1G,6404.446,6
AUT,2020,C26,B1G,3951.952,6
AUT,2020,C27,B1G,4657.39,6
AUT,2020,C28,B1G,8809.031,6
AUT,2020,C29,B1G,4244.426,6
AUT,2020,C29_30,B1G,5754.028,6
AUT,2020,C30,B1G,1509.602,6
AUT,2020,C31T33,B1G,4809.16,6
AUT,2020,C31_32,B1G,2578.025,6
AUT,2020,C33,B1G,2231.135,6
AUT,2020,D,B1G,6352.24,6
AUT,2020,E,B1G,3556.174,6
AUT,2020,E36,B1G,598.216,6
AUT,2020,E37T39,B1G,2957.958,6
AUT,2020,F,B1G,23778.849,6
AUT,2020,G,B1G,41191.817,6
AUT,2020,G45,B1G,4500.541,6
AUT,2020,G46,B1G,21538.151,6
AUT,2020,G47,B1G,15153.125,6
AUT,2020,H,B1G,17948.785,6
AUT,2020,H49,B1G,8948.328,6
AUT,2020,H50,B1G,11.064,6
AUT,2020,H51,B1G,55.137,6
AUT,2020,H52,B1G,7455.831,6
AUT,2020,H53,B1G,1478.425,6
AUT,2020,I,B1G,9120.425,6
AUT,2020,J,B1G,13703.17,6
AUT,2020,J58,B1G,1267.58,6
AUT,2020,J58T60,B1G,2446.94,6
AUT,2020,J59_60,B1G,1179.36,6
AUT,2020,J61,B1G,3030.687,6
AUT,2020,J62_63,B1G,8225.543,6
AUT,2020,K,B1G,14659.104,6
AUT,2020,K64,B1G,9310.935,6
AUT,2020,K65,B1G,3712.64,6
AUT,2020,K66,B1G,1635.529,6
AUT,2020,L,B1G,35353.526,6
AUT,2020,L68A,B1G,18277.036,6
AUT,2020,M,B1G,19530.808,6
AUT,2020,M69T71,B1G,15384.098,6
AUT,2020,M69_70,B1G,10040.907,6
AUT,2020,M71,B1G,5343.191,6
AUT,2020,M72,B1G,1617.318,6
AUT,2020,M73,B1G,1518.019,6
AUT,2020,M73T75,B1G,2529.393,6
AUT,2020,M74_75,B1G,1011.374,6
AUT,2020,N,B1G,14648.49,6
AUT,2020,N77,B1G,4575.21,6
AUT,2020,N78,B1G,3876.13,6
AUT,2020,N79,B1G,233.914,6
AUT,2020,N80T82,B1G,5963.236,6
AUT,2020,O,B1G,18402.277,6
AUT,2020,P,B1G,18984.309,6
AUT,2020,Q,B1G,27508.506,6
AUT,2020,Q86,B1G,20424.065,6
AUT,2020,Q87_88,B1G,7084.441,6
AUT,2020,R,B1G,2755.141,6
AUT,2020,R90T92,B1G,1856.461,6
AUT,2020,R93,B1G,898.68,6
AUT,2020,S,B1G,4944.16,6
AUT,2020,S94,B1G,2766.141,6
AUT,2020,S95,B1G,148.423,6
AUT,2020,S96,B1G,2029.595,6
AUT,2020,T,B1G,136.123,6
AUT,2020,_T,B1G,340529.897,6
AUT,2021,A,B1G,4936.683,6
AUT,2021,A01,B1G,3682.351,6
AUT,2021,A02,B1G,1220.427,6
AUT,2021,A03,B1G,33.905,6
AUT,2021,B,B1G,980.728,6
AUT,2021,C,B1G,68975.871,6
AUT,2021,C10T12,B1G,7397.427,6
AUT,2021,C13T15,B1G,899.95,6
AUT,2021,C16,B1G,3568.822,6
AUT,2021,C16T18,B1G,6240.579,6
AUT,2021,C17,B1G,1996.725,6
AUT,2021,C18,B1G,675.032,6
AUT,2021,C19,B1G,796.937,6
AUT,2021,C20,B1G,4068.851,6
AUT,2021,C21,B1G,2624.945,6
AUT,2021,C22,B1G,2554.017,6
AUT,2021,C22_23,B1G,5265.952,6
AUT,2021,C23,B1G,2711.935,6
AUT,2021,C24,B1G,3810.242,6
AUT,2021,C24_25,B1G,11012.495,6
AUT,2021,C25,B1G,7202.253,6
AUT,2021,C26,B1G,4558.652,6
AUT,2021,C27,B1G,5147.373,6
AUT,2021,C28,B1G,9819.133,6
AUT,2021,C29,B1G,4490.214,6
AUT,2021,C29_30,B1G,5997.979,6
AUT,2021,C30,B1G,1507.765,6
AUT,2021,C31T33,B1G,5145.598,6
AUT,2021,C31_32,B1G,2873.424,6
AUT,2021,C33,B1G,2272.174,6
AUT,2021,D,B1G,6294.592,6
AUT,2021,E,B1G,3722.084,6
AUT,2021,E36,B1G,599.984,6
AUT,2021,E37T39,B1G,3122.1,6
AUT,2021,F,B1G,24531.181,6
AUT,2021,G,B1G,45800.982,6
AUT,2021,G45,B1G,5180.432,6
AUT,2021,G46,B1G,23621.818,6
AUT,2021,G47,B1G,16998.732,6
AUT,2021,H,B1G,17736.821,6
AUT,2021,H49,B1G,8139.911,6
AUT,2021,H50,B1G,11.241,6
AUT,2021,H51,B1G,335.632,6
AUT,2021,H52,B1G,7696.202,6
AUT,2021,H53,B1G,1553.835,6
