iso3,year,measure,share
CAN,2019,rent_burden,0.253448
CAN,2020,mortgage_burden,0.155014
CAN,2020,rent_burden,0.239252
CAN,2021,mortgage_burden,0.158152
CAN,2021,rent_burden,0.241727
CAN,2022,mortgage_burden,0.160342
CAN,2022,rent_burden,0.245112
CHE,2010,rent_burden,0.247469
CHE,2011,rent_burden,0.249008
CHE,2012,mortgage_burden,0.131569
CHE,2012,rent_burden,0.224960
CHE,2013,mortgage_burden,0.127729
CHE,2013,rent_burden,0.220563
CHE,2014,mortgage_burden,0.125014
CHE,2014,rent_burden,0.232789
CHE,2015,mortgage_burden,0.122602
CHE,2015,rent_burden,0.234791
CHE,2016,mortgage_burden,0.110526
CHE,2016,rent_burden,0.239164
CHE,2018,mortgage_burden,0.098436
CHE,2018,rent_burden,0.248934
CHE,2019,mortgage_burden,0.094392
CHE,2019,rent_burden,0.242855
CHE,2020,mortgage_burden,0.089313
CHE,2020,rent_burden,0.246556
CHE,2021,mortgage_burden,0.086366
CHE,2021,rent_burden,0.247272
CHE,2022,mortgage_burden,0.083015
CHE,2022,rent_burden,0.247270
CHE,2023,mortgage_burden,0.085592
CHE,2023,rent_burden,0.245614
CHL,2011,mortgage_burden,0.136687
CHL,2011,rent_burden,0.173487
CHL,2013,mortgage_burden,0.144493
CHL,2013,rent_burden,0.200000
CHL,2015,mortgage_burden,0.141509
CHL,2015,rent_burden,0.219534
CHL,2017,mortgage_burden,0.147173
CHL,2017,rent_burden,0.240000
CHL,2020,rent_burden,0.318232
CHL,2022,mortgage_burden,0.179104
CHL,2022,rent_burden,0.272727
COL,2010,mortgage_burden,0.141750
COL,2010,rent_burden,0.179205
COL,2011,mortgage_burden,0.132841
COL,2011,rent_burden,0.171717
COL,2012,mortgage_burden,0.138885
COL,2012,rent_burden,0.172414
COL,2013,mortgage_burden,0.141386
COL,2013,rent_burden,0.178295
COL,2014,mortgage_burden,0.144828
COL,2014,rent_burden,0.177815
COL,2015,mortgage_burden,0.146530
COL,2015,rent_burden,0.183015
COL,2016,mortgage_burden,0.145267
COL,2016,rent_burden,0.190981
COL,2017,mortgage_burden,0.154540
COL,2017,rent_burden,0.203075
COL,2018,mortgage_burden,0.158898
COL,2018,rent_burden,0.204014
COL,2019,mortgage_burden,0.166667
COL,2019,rent_burden,0.200000
COL,2020,mortgage_burden,0.149465
COL,2020,rent_burden,0.204775
COL,2021,mortgage_burden,0.184042
COL,2021,rent_burden,0.233422
COL,2022,mortgage_burden,0.179578
COL,2022,rent_burden,0.212937
COL,2023,mortgage_burden,0.162776
COL,2023,rent_burden,0.209107
COL,2024,mortgage_burden,0.197275
COL,2024,rent_burden,0.205726
CRI,2010,mortgage_burden,0.115795
CRI,2010,rent_burden,0.150455
CRI,2011,mortgage_burden,0.126357
CRI,2011,rent_burden,0.149060
CRI,2012,mortgage_burden,0.129407
CRI,2012,rent_burden,0.155440
CRI,2013,mortgage_burden,0.119098
CRI,2013,rent_burden,0.153846
CRI,2014,mortgage_burden,0.132281
CRI,2014,rent_burden,0.154883
CRI,2015,mortgage_burden,0.134130
CRI,2015,rent_burden,0.156250
CRI,2016,mortgage_burden,0.133500
CRI,2016,rent_burden,0.161282
CRI,2017,mortgage_burden,0.140857
CRI,2017,rent_burden,0.167306
CRI,2018,mortgage_burden,0.150813
CRI,2018,rent_burden,0.173911
CRI,2019,mortgage_burden,0.163506
CRI,2019,rent_burden,0.180672
CRI,2020,mortgage_burden,0.169589
CRI,2020,rent_burden,0.204056
CRI,2021,mortgage_burden,0.159913
CRI,2021,rent_burden,0.193157
CRI,2022,mortgage_burden,0.154108
CRI,2022,rent_burden,0.184774
CRI,2023,mortgage_burden,0.166071
CRI,2023,rent_burden,0.186460
CRI,2024,mortgage_burden,0.157094
