industry,asset,year,value
113F,EP20,2024,151.0
113F,EP31,2023,1.0
113F,EP31,2024,1.0
113F,EP34,2023,87.0
113F,EP34,2024,96.0
113F,EP35,2023,2.0
113F,EP35,2024,1.0
113F,EP36,2023,695.0
113F,EP36,2024,638.0
113F,EQ00,2023,59319.0
113F,EQ00,2024,58995.0
113F,ET11,2023,965.0
113F,ET11,2024,998.0
113F,ET12,2023,879.0
113F,ET12,2024,853.0
113F,ET20,2023,82.0
113F,ET20,2024,78.0
113F,ET30,2023,1505.0
113F,ET30,2024,1381.0
113F,ET40,2023,1609.0
113F,ET40,2024,1573.0
113F,ET50,2023,0.0
113F,ET50,2024,0.0
113F,IP00,2023,421.0
113F,IP00,2024,459.0
113F,RD11,2023,0.0
113F,RD11,2024,0.0
113F,RD12,2023,0.0
113F,RD12,2024,0.0
113F,RD21,2023,0.0
113F,RD21,2024,0.0
113F,RD22,2023,0.0
113F,RD22,2024,0.0
113F,RD23,2023,0.0
113F,RD23,2024,0.0
113F,RD24,2023,0.0
113F,RD24,2024,0.0
113F,RD25,2023,0.0
113F,RD25,2024,0.0
113F,RD31,2023,0.0
113F,RD31,2024,0.0
113F,RD32,2023,0.0
113F,RD32,2024,0.0
113F,RD40,2023,0.0
113F,RD40,2024,0.0
113F,RD50,2023,0.0
113F,RD50,2024,0.0
113F,RD60,2023,0.0
113F,RD60,2024,0.0
113F,RD70,2023,0.0
113F,RD70,2024,0.0
113F,RD80,2023,0.0
113F,RD80,2024,0.0
113F,RD91,2023,0.0
113F,RD91,2024,0.0
113F,RD92,2023,0.0
113F,RD92,2024,0.0
113F,RDOM,2023,0.0
113F,RDOM,2024,0.0
113F,SB10,2023,0.0
113F,SB10,2024,0.0
113F,SB20,2023,0.0
113F,SB20,2024,0.0
113F,SB31,2023,0.0
113F,SB31,2024,0.0
113F,SB32,2023,3.0
113F,SB32,2024,3.0
113F,SB41,2023,0.0
113F,SB41,2024,0.0
113F,SB42,2023,0.0
113F,SB42,2024,0.0
113F,SB43,2023,0.0
113F,SB43,2024,0.0
113F,SB44,2023,0.0
113F,SB44,2024,0.0
113F,SB45,2023,217.0
113F,SB45,2024,218.0
113F,SB46,2023,877.0
113F,SB46,2024,890.0
113F,SC01,2023,8261.0
113F,SC01,2024,8557.0
113F,SC02,2023,2645.0
113F,SC02,2024,2705.0
113F,SC03,2023,21.0
113F,SC03,2024,22.0
113F,SC04,2023,0.0
113F,SC04,2024,0.0
113F,SI00,2023,5449.0
113F,SI00,2024,5836.0
113F,SM01,2023,0.0
113F,SM01,2024,0.0
113F,SM02,2023,0.0
113F,SM02,2024,0.0
113F,SN00,2023,314.0
113F,SN00,2024,329.0
113F,SO01,2023,1945.0
113F,SO01,2024,1922.0
113F,SO02,2023,860.0
113F,SO02,2024,849.0
113F,SO03,2023,2561.0
113F,SO03,2024,2571.0
113F,SO04,2023,3866.0
113F,SO04,2024,3867.0
113F,SOMO,2023,367.0
113F,SOMO,2024,354.0
113F,SOO1,2023,5680.0
113F,SOO1,2024,5693.0
113F,SOO2,2023,0.0
113F,SOO2,2024,0.0
113F,ST00,2023,33339.0
113F,ST00,2024,34076.0
113F,SU11,2023,0.0
113F,SU11,2024,0.0
113F,SU12,2023,0.0
113F,SU12,2024,0.0
113F,SU20,2023,0.0
113F,SU20,2024,0.0
113F,SU30,2023,14.0
113F,SU30,2024,13.0
113F,SU40,2023,0.0
113F,SU40,2024,0.0
113F,SU50,2023,1.0
113F,SU50,2024,1.0
113F,SU60,2023,258.0
113F,SU60,2024,246.0
2110,AE10,2023,0.0
2110,AE10,2024,0.0
2110,AE20,2023,0.0
2110,AE20,2024,0.0
2110,AE30,2023,0.0
2110,AE30,2024,0.0
2110,AE40,2023,0.0
2110,AE40,2024,0.0
2110,AE50,2023,0.0
2110,AE50,2024,0.0
2110,EI11,2023,0.0
2110,EI11,2024,0.0
2110,EI12,2023,711.0
2110,EI12,2024,707.0
2110,EI21,2023,0.0
2110,EI21,2024,0.0
2110,EI22,2023,8.0
2110,EI22,2024,6.0
2110,EI30,2023,3040.0
2110,EI30,2024,3145.0
2110,EI40,2023,0.0
2110,EI40,2024,0.0
2110,EI50,2023,2039.0
2110,EI50,2024,1884.0
2110,EI60,2023,991.0
2110,EI60,2024,953.0
2110,ENS1,2023,250.0
2110,ENS1,2024,275.0
2110,ENS2,2023,443.0
2110,ENS2,2024,438.0
2110,ENS3,2023,34.0
2110,ENS3,2024,33.0
2110,EO11,2023,0.0
2110,EO11,2024,0.0
2110,EO12,2023,490.0
2110,EO12,2024,461.0
2110,EO21,2023,6.0
2110,EO21,2024,5.0
2110,EO22,2023,32.0
2110,EO22,2024,32.0
2110,EO30,2023,0.0
2110,EO30,2024,0.0
2110,EO40,2023,553.0
2110,EO40,2024,544.0
2110,EO50,2023,33526.0
2110,EO50,2024,32000.0
2110,EO60,2023,514.0
