industry,asset,year,value
2110,AE50,2024,0.0
2110,EI11,2023,0.0
2110,EI11,2024,0.0
2110,EI12,2023,71.0
2110,EI12,2024,69.0
2110,EI21,2023,0.0
2110,EI21,2024,0.0
2110,EI22,2023,2.0
2110,EI22,2024,2.0
2110,EI30,2023,388.0
2110,EI30,2024,405.0
2110,EI40,2023,0.0
2110,EI40,2024,0.0
2110,EI50,2023,242.0
2110,EI50,2024,224.0
2110,EI60,2023,52.0
2110,EI60,2024,50.0
2110,ENS1,2023,188.0
2110,ENS1,2024,199.0
2110,ENS2,2023,181.0
2110,ENS2,2024,173.0
2110,ENS3,2023,14.0
2110,ENS3,2024,13.0
2110,EO11,2023,0.0
2110,EO11,2024,0.0
2110,EO12,2023,64.0
2110,EO12,2024,60.0
2110,EO21,2023,1.0
2110,EO21,2024,1.0
2110,EO22,2023,6.0
2110,EO22,2024,6.0
2110,EO30,2023,0.0
2110,EO30,2024,0.0
2110,EO40,2023,92.0
2110,EO40,2024,92.0
2110,EO50,2023,5530.0
2110,EO50,2024,5354.0
2110,EO60,2023,83.0
2110,EO60,2024,84.0
2110,EO71,2023,0.0
2110,EO71,2024,0.0
2110,EO72,2023,3.0
2110,EO72,2024,2.0
2110,EO80,2023,146.0
2110,EO80,2024,139.0
2110,EP12,2023,0.0
2110,EP12,2024,0.0
2110,EP1A,2023,4.0
2110,EP1A,2024,4.0
2110,EP1B,2023,30.0
2110,EP1B,2024,27.0
2110,EP1C,2023,0.0
2110,EP1C,2024,0.0
2110,EP1D,2023,3.0
2110,EP1D,2024,3.0
2110,EP1E,2023,5.0
2110,EP1E,2024,5.0
2110,EP1F,2023,0.0
2110,EP1F,2024,0.0
2110,EP1G,2023,2.0
2110,EP1G,2024,1.0
2110,EP1H,2023,38.0
2110,EP1H,2024,36.0
2110,EP20,2023,28.0
2110,EP20,2024,26.0
2110,EP31,2023,8.0
2110,EP31,2024,6.0
2110,EP34,2023,0.0
2110,EP34,2024,0.0
2110,EP35,2023,0.0
2110,EP35,2024,0.0
2110,EP36,2023,56.0
2110,EP36,2024,50.0
2110,EQ00,2023,7882.0
2110,EQ00,2024,7641.0
2110,ET11,2023,171.0
2110,ET11,2024,158.0
2110,ET12,2023,13.0
2110,ET12,2024,12.0
2110,ET20,2023,51.0
2110,ET20,2024,43.0
2110,ET30,2023,91.0
2110,ET30,2024,85.0
2110,ET40,2023,703.0
2110,ET40,2024,697.0
2110,ET50,2023,0.0
2110,ET50,2024,0.0
2110,IP00,2023,5855.0
2110,IP00,2024,6493.0
2110,RD11,2023,0.0
