iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
HUN,1990,IPUMS,827,2.60,24.45,49.51,23.70,2.33,24.45,19.79,,,,1.19,0.00,,
HUN,2001,DYB,1030,2.57,26.25,48.51,22.37,2.87,26.25,20.84,31.22,9.30,,,12.40,,
HUN,2001,IPUMS,1030,2.57,26.32,48.32,22.50,2.86,26.32,20.14,31.86,9.75,,,0.00,,
HUN,2001,LFS,9509,2.62,24.11,49.14,24.01,2.75,24.11,,,,,,,,
HUN,2011,DYB,4825,2.36,32.08,48.54,17.25,2.13,32.08,19.85,26.74,11.05,,,10.27,,
HUN,2011,IPUMS,4825,2.36,32.23,48.31,17.39,2.06,32.23,19.20,26.51,10.78,,,0.00,,
HUN,2011,LFS,9510,2.60,23.63,50.92,22.72,2.74,23.63,,,,,,,,
HUN,2022,DYB,7315,2.35,35.52,44.58,16.71,3.19,35.52,17.74,22.27,10.25,,,14.22,,
IDN,1971,IPUMS,65,4.84,4.67,27.42,32.31,35.60,4.67,6.90,46.94,7.70,27.36,4.08,2.35,26.13,14.33
IDN,1976,IPUMS,144,4.90,4.67,26.89,31.82,36.63,4.67,7.08,49.73,7.03,28.69,2.80,0.00,28.81,15.70
IDN,1980,IPUMS,1304,4.82,4.64,27.87,32.57,34.92,4.64,7.49,48.71,6.32,28.86,3.98,0.00,29.58,16.03
IDN,1985,IPUMS,686,4.68,4.88,28.14,34.80,32.18,4.88,7.44,52.40,5.93,26.37,2.98,0.00,29.13,14.91
IDN,1990,IPUMS,1263,4.48,5.42,30.22,36.10,28.26,5.42,7.83,51.35,5.91,25.79,3.70,0.00,29.47,14.52
IDN,1991,DHS,1687,4.63,4.74,27.31,37.75,30.19,4.74,6.98,52.43,5.24,27.33,3.26,0.02,32.20,16.28
IDN,1994,DHS,1688,4.47,5.53,28.45,39.30,26.72,5.53,6.89,50.97,5.08,28.19,3.31,0.01,32.05,16.69
IDN,1995,IPUMS,6,4.23,5.70,32.47,39.25,22.59,5.70,8.22,55.35,5.51,22.69,2.54,0.00,29.78,13.02
IDN,1997,DHS,1690,4.31,4.83,31.71,39.98,23.49,4.83,7.94,53.08,5.02,26.36,2.77,0.00,31.32,16.20
IDN,2000,IPUMS,1538,3.94,6.68,37.24,38.50,17.58,6.68,9.86,54.60,6.34,,,0.00,,
IDN,2000,MICS,4438,4.10,5.10,33.78,41.78,19.34,5.10,8.54,56.97,5.67,22.04,1.68,0.00,,
IDN,2003,DHS,1689,4.32,5.14,30.39,41.54,22.92,5.14,7.43,51.37,4.39,29.65,2.01,0.01,35.59,18.79
IDN,2005,IPUMS,9,3.95,6.03,35.86,41.82,16.29,6.03,9.12,56.40,6.05,20.78,1.62,0.00,32.64,11.83
IDN,2007,DHS,739,4.10,5.87,33.98,40.59,19.56,5.87,8.77,46.70,5.38,31.10,2.14,0.03,36.28,19.34
IDN,2010,IPUMS,4785,3.85,8.26,36.89,39.50,15.35,8.26,9.06,49.90,6.06,24.57,2.16,0.00,31.73,14.27
IDN,2012,DHS,5458,3.99,6.96,35.17,40.60,17.27,6.96,8.01,44.04,5.96,32.60,2.36,0.05,36.53,20.67
IDN,2017,DHS,7363,3.86,7.10,36.62,41.50,14.78,7.10,9.45,45.66,5.64,30.53,1.61,0.01,37.77,20.24
IMN,2016,DYB,7318,2.28,30.07,51.53,16.84,1.56,30.07,,,,,,,,
IND,1983,IPUMS,9487,5.09,7.82,20.58,32.33,39.27,7.82,5.54,40.15,5.43,39.00,1.61,0.45,39.12,23.98
IND,1987,IPUMS,9488,5.00,7.24,21.12,34.44,37.20,7.24,6.00,42.42,5.39,37.63,1.13,0.19,39.21,23.91
IND,1993,DHS,1789,5.70,3.18,18.08,33.10,45.64,3.18,4.27,36.48,4.59,49.73,1.67,0.08,49.07,33.58
IND,1993,IPUMS,9489,4.78,6.95,22.58,37.50,32.98,6.95,6.90,45.33,5.09,34.84,0.71,0.19,38.42,22.58
IND,1999,DHS,1790,5.43,3.44,19.59,36.18,40.79,3.44,4.88,38.88,4.76,46.96,1.06,0.03,47.77,32.02
IND,1999,IPUMS,9490,4.87,6.56,21.64,38.51,33.29,6.56,6.30,46.40,5.25,34.66,0.62,0.21,39.72,23.48
IND,2001,DYB,878,5.29,3.93,19.90,37.83,38.34,3.93,,,,,,,,
IND,2004,IPUMS,9491,4.69,6.92,23.56,39.36,30.16,6.92,7.20,45.70,5.69,34.07,0.42,0.00,40.77,24.11
IND,2006,DHS,1792,4.84,5.49,24.98,37.22,32.32,5.49,6.82,38.09,6.46,37.93,5.20,0.02,43.41,28.12
IND,2009,IPUMS,9492,4.42,7.66,26.01,40.85,25.47,7.66,8.68,46.68,5.42,31.22,0.26,0.08,40.23,22.26
IND,2015,DHS,5565,4.57,4.11,27.31,41.64,26.94,4.11,8.03,41.49,6.26,37.14,2.97,0.00,50.25,29.39
IND,2020,DHS,9090,4.38,5.11,30.31,40.37,24.21,5.11,9.11,37.01,7.22,39.17,2.36,0.01,51.28,30.15
IRL,1971,IPUMS,1116,3.93,14.28,36.49,25.50,23.73,14.28,10.07,40.31,8.69,,,0.00,,
IRL,1979,IPUMS,1193,3.75,16.24,35.44,27.68,20.64,16.24,11.10,43.75,7.78,,,0.00,,
IRL,1981,IPUMS,73,3.66,17.11,35.19,28.22,19.47,17.11,11.09,43.74,7.67,,,0.00,,
IRL,1986,IPUMS,907,3.55,18.37,34.83,29.25,17.56,18.37,11.02,43.90,8.18,,,0.00,,
IRL,1991,IPUMS,1080,3.35,20.08,36.60,29.26,14.06,20.08,11.80,41.73,8.52,9.25,7.16,1.46,23.25,3.59
