iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
CHE,2000,DYB,1368,2.24,35.98,44.59,17.77,1.66,35.98,26.49,27.50,5.44,,,4.59,,
CHE,2000,IPUMS,1368,2.21,37.51,43.64,17.23,1.62,37.51,25.88,,,,2.48,0.00,,
CHL,1970,IPUMS,1285,5.04,5.69,25.47,30.49,38.34,5.69,6.02,37.54,7.44,26.75,15.98,0.57,30.66,13.61
CHL,1982,IPUMS,1593,4.50,6.95,28.97,36.47,27.61,6.95,6.15,37.86,7.79,28.91,12.35,0.00,32.20,15.84
CHL,1992,IPUMS,861,3.98,8.32,34.14,39.57,17.98,8.32,7.23,40.22,8.35,27.43,8.46,0.00,32.02,15.38
CHL,2002,IPUMS,1037,3.58,11.43,39.22,37.11,12.24,11.43,9.19,37.43,9.43,26.47,6.06,0.00,32.94,13.80
CHL,2017,IPUMS,7105,3.04,20.17,44.75,27.47,7.60,20.17,10.57,23.68,11.11,28.77,4.84,0.00,32.21,11.69
CHL,2024,DYB,9126,2.78,21.79,49.26,24.43,4.52,21.79,14.25,27.24,14.95,,,21.77,,
CHN,1982,IPUMS,1619,4.41,7.99,26.16,37.84,28.00,7.99,4.79,,,,0.30,0.00,36.92,17.70
CHN,1990,IPUMS,1569,3.95,6.32,35.14,43.27,15.27,6.32,6.49,,,,0.38,0.00,35.91,18.03
CHN,2000,IPUMS,272,3.38,8.59,48.82,35.47,7.12,8.59,12.82,46.96,5.40,,,0.00,32.18,17.73
CHN,2010,DYB & China Population Census Yearbook 2010,4778,3.09,14.53,51.23,27.60,6.64,14.53,,,,,,,,17.06
CHN,2020,DYB & China Population Census Yearbook 2020,7195,2.62,25.39,50.67,19.35,4.59,25.39,,,,,,,,13.26
CIV,1988,IPUMS,1457,5.89,15.13,21.77,20.09,43.01,15.13,3.64,18.48,4.59,34.16,24.01,0.00,,
CIV,1994,DHS,1779,6.22,13.88,19.59,19.81,46.71,13.88,3.88,19.54,3.72,46.06,12.88,0.04,23.63,18.40
CIV,1998,DHS,1778,6.19,11.41,21.79,20.36,46.44,11.41,5.05,18.14,3.21,46.58,15.53,0.09,25.86,18.40
CIV,1998,IPUMS,1630,5.79,14.23,22.07,20.58,43.13,14.23,4.14,18.79,4.96,41.91,14.64,1.34,,
CIV,2005,DHS,733,5.48,11.44,22.19,24.38,41.99,11.44,3.78,23.84,4.15,45.78,10.92,0.09,24.31,16.47
CIV,2012,DHS,4687,5.09,12.18,24.73,25.87,37.22,12.18,4.61,25.32,5.26,41.08,11.54,0.01,23.60,16.78
CIV,2016,MICS,5635,4.58,17.00,25.12,26.08,31.80,17.00,4.77,27.64,6.10,37.44,7.01,0.05,19.75,13.16
CIV,2021,DHS,9289,4.38,15.85,26.80,29.08,28.27,15.85,4.70,30.06,7.58,36.39,5.42,0.00,19.28,12.66
CIV,2021,DYB,7160,,16.74,,,,16.74,,,7.37,,,,,
CMR,1976,IPUMS,1409,5.07,13.18,28.27,22.32,36.22,13.18,9.17,21.85,4.86,40.57,10.08,0.28,,
CMR,1987,IPUMS,79,5.14,14.34,25.87,21.70,38.09,14.34,6.95,22.01,5.89,42.42,8.39,0.00,,
CMR,1991,DHS,1798,5.61,14.19,20.62,20.68,44.52,14.19,5.45,22.00,3.99,41.70,12.65,0.03,23.64,16.84
CMR,1998,DHS,1674,5.50,12.70,22.88,21.62,42.80,12.70,5.68,21.72,5.25,47.47,7.11,0.07,26.79,18.06
CMR,2000,MICS,1914,5.79,10.12,20.25,23.48,46.15,10.12,,,,,,,,
CMR,2004,DHS,1786,4.79,17.60,24.81,22.36,35.23,17.60,5.49,22.14,7.22,43.75,3.71,0.10,21.31,14.46
CMR,2005,IPUMS,882,5.12,12.59,23.39,24.31,39.71,12.59,4.83,28.91,9.61,39.17,4.77,0.12,24.03,8.66
CMR,2006,MICS,2312,4.51,18.09,25.62,24.01,32.29,18.09,5.45,25.20,9.23,39.54,2.42,0.08,19.44,12.31
CMR,2011,DHS,4686,4.99,15.14,22.69,24.44,37.72,15.14,4.04,25.11,7.30,42.97,5.26,0.18,24.31,17.24
CMR,2014,MICS,5641,4.56,18.67,24.89,23.82,32.62,18.67,4.74,26.63,8.53,38.91,2.49,0.02,21.73,14.26
CMR,2018,DHS,7684,4.99,15.30,22.79,24.73,37.18,15.30,4.27,27.72,8.70,39.36,4.64,0.01,23.31,15.30
CMR,2022,DHS,7794,4.92,13.63,24.07,25.47,36.83,13.63,4.44,27.90,8.51,38.00,7.52,0.00,24.16,15.52
COD,2001,MICS,1935,6.29,2.21,16.67,27.08,54.04,2.21,3.82,41.40,6.09,43.29,1.78,1.42,28.15,18.61
COD,2007,DHS,1888,5.45,6.73,21.47,26.80,45.00,6.73,4.66,38.34,7.84,40.35,2.03,0.06,25.24,16.02
COD,2010,MICS,4996,5.32,5.90,21.86,28.62,43.62,5.90,4.97,42.29,7.34,36.57,2.23,0.70,22.61,14.72
COD,2013,DHS,5612,5.30,7.25,21.19,27.81,43.74,7.25,4.71,36.70,10.70,38.54,2.10,0.00,24.86,18.80
COD,2018,MICS,7798,5.17,7.55,22.77,28.50,41.18,7.55,4.78,37.69,13.85,35.32,0.81,0.00,22.71,14.70
COD,2023,DHS,9206,5.28,6.74,20.45,29.60,43.20,6.74,3.55,35.13,11.74,41.35,1.46,0.03,24.94,16.35
COG,2005,DHS,1709,5.17,8.86,23.16,28.73,39.25,8.86,4.78,28.63,6.55,47.39,3.79,0.00,27.33,20.45
COG,2009,DHS,4946,4.20,12.27,30.11,31.75,25.87,12.27,5.28,34.00,9.93,36.06,2.32,0.13,18.87,12.66
COG,2011,DHS,5050,4.31,13.09,29.90,29.08,27.94,13.09,5.84,34.45,8.21,35.84,2.57,0.00,17.97,13.32
COG,2015,MICS,5642,4.22,13.79,29.25,30.00,26.96,13.79,5.31,36.09,9.17,34.44,1.20,0.01,22.65,14.99
COL,1973,IPUMS,968,5.68,5.92,21.00,25.50,47.57,5.92,3.96,31.80,10.04,27.10,19.29,1.89,28.45,14.10
COL,1985,IPUMS,257,5.06,5.95,24.04,33.25,36.76,5.95,4.97,38.64,8.26,27.97,14.22,0.00,34.09,16.76
COL,1990,DHS,1860,4.64,6.62,27.37,35.85,30.15,6.62,5.42,38.56,9.30,28.44,11.65,0.01,34.11,17.88
COL,1993,IPUMS,1359,4.49,6.83,29.25,36.46,27.46,6.83,5.92,38.50,10.06,27.81,10.89,0.00,31.39,14.70
COL,1995,DHS,1862,4.44,6.39,29.94,37.92,25.74,6.39,5.71,41.02,9.42,27.82,9.60,0.05,33.95,18.73
COL,2000,DHS,1861,4.20,7.67,32.23,37.53,22.57,7.67,5.89,37.67,10.67,30.14,7.96,0.00,36.32,19.92
COL,2005,DHS,1859,4.11,7.65,34.15,38.00,20.21,7.65,6.52,36.44,11.19,32.71,5.49,0.00,38.62,21.10
COL,2005,IPUMS,407,3.83,11.37,35.72,36.09,16.82,11.37,7.36,37.20,11.75,24.72,7.61,0.00,31.94,15.19
COL,2010,DHS,4945,3.77,9.44,38.79,36.71,15.06,9.44,7.77,36.16,12.38,30.06,4.19,0.00,36.46,18.86
COL,2015,DHS,5788,3.53,11.13,42.41,34.80,11.66,11.13,9.78,34.19,12.70,28.93,3.28,0.00,38.25,18.07
COM,1996,DHS,1707,6.31,2.31,16.46,24.69,56.54,2.31,3.56,27.85,7.61,50.62,8.05,0.00,40.52,21.84
COM,2012,DHS,5459,5.37,4.91,22.92,28.71,43.46,4.91,4.58,36.17,8.93,38.07,7.07,0.27,34.73,17.67
COM,2022,MICS,9220,5.22,5.59,21.71,30.30,42.40,5.59,4.99,39.84,8.57,31.83,9.18,0.00,36.83,17.80
CRI,1973,IPUMS,935,5.59,4.73,22.74,27.18,45.34,4.73,5.85,47.10,7.79,24.66,9.88,0.00,,
CRI,1984,IPUMS,990,4.68,5.36,27.58,37.00,30.06,5.36,6.74,49.97,8.29,22.06,7.58,0.00,29.44,12.96
CRI,2000,IPUMS,1590,3.95,8.00,35.30,38.97,17.73,8.00,8.49,48.99,11.16,18.39,4.96,0.00,29.91,10.57
CRI,2011,IPUMS,4741,3.46,11.23,42.70,35.83,10.25,11.23,10.76,41.25,13.71,19.42,3.64,0.00,34.66,11.33
CRI,2011,MICS,4993,3.66,8.51,39.67,40.30,11.51,8.51,9.27,40.85,13.37,24.61,3.05,0.34,38.78,14.71
CRI,2018,MICS,5762,3.21,12.07,48.80,31.61,7.51,12.07,13.43,35.93,15.68,20.65,2.25,0.00,37.38,11.79
CUB,2002,IPUMS,346,3.14,13.73,49.55,30.23,6.50,13.73,11.67,30.72,11.87,28.61,3.40,0.00,35.90,16.36
CUB,2006,MICS,2338,3.25,12.50,47.31,32.27,7.92,12.50,,,,,,,,
CUB,2011,MICS,4994,3.06,14.97,49.86,28.62,6.56,14.97,13.62,27.21,11.78,30.37,2.06,0.00,43.70,18.96
CUB,2012,IPUMS,4742,2.85,18.76,51.71,25.21,4.32,18.76,13.05,25.99,13.47,26.45,0.00,0.00,37.11,14.15
CUB,2014,MICS,5673,2.81,17.95,53.43,24.70,3.93,17.95,16.35,24.54,12.94,26.89,1.30,0.03,40.03,15.73
CUB,2019,MICS,7578,2.71,21.14,52.66,22.49,3.70,21.14,17.40,23.20,11.72,25.14,1.39,0.00,35.74,14.76
CYM,2010,DYB,4740,,32.57,45.71,17.72,4.00,32.57,,,,,,,,
CYM,2021,DYB,7269,,34.60,45.90,16.51,2.99,34.60,,,,,,,,
CYP,2001,DYB,834,3.06,16.02,44.31,33.69,5.98,16.02,23.73,49.49,5.73,,,5.03,,
CYP,2001,LFS,9499,2.96,16.11,48.35,30.66,4.89,16.11,,,,,,,,
CYP,2011,DYB,4782,2.76,20.76,49.14,26.04,4.06,20.76,23.65,36.59,6.16,,,12.83,,
CYP,2011,LFS,9500,2.75,18.72,52.55,25.82,2.92,18.72,,,,,,,,
CYP,2021,DYB,7111,2.56,24.49,50.45,22.51,2.56,24.49,23.38,33.54,9.57,,,9.02,,
CZE,2001,DYB,1331,2.41,30.27,47.01,21.51,1.21,30.27,28.31,25.30,12.88,,,3.24,,
CZE,2001,LFS,9501,2.60,22.57,50.33,25.54,1.57,22.57,,,,,,,,
CZE,2011,DYB,4817,2.34,32.51,47.22,18.54,1.74,32.51,18.84,24.50,10.29,,,13.86,,
CZE,2011,LFS,9502,2.40,27.28,51.34,20.37,1.02,27.28,,,,,,,,
CZE,2021,DYB,7308,2.15,39.07,44.11,15.66,1.17,39.07,21.20,23.84,9.60,,,6.29,,
DEU,2005,LFS,9507,2.12,37.06,48.26,13.78,0.91,37.06,,,,,,,,
DEU,2011,DYB,4822,2.14,37.27,48.09,13.21,1.43,37.27,28.39,23.32,7.33,,,3.69,,
DEU,2011,LFS,9508,2.05,39.53,47.00,12.71,0.76,39.53,,,,,,,,
DEU,2022,DYB,7126,2.04,43.14,43.28,12.02,1.56,43.14,25.48,20.30,7.21,,,3.87,,
DJI,2006,MICS,1922,5.89,2.72,18.72,28.84,49.72,2.72,4.88,49.48,8.12,30.00,4.68,0.12,40.29,9.33
DOM,1981,IPUMS,101,5.00,9.15,25.13,26.80,38.91,9.15,5.83,36.84,9.63,28.89,9.65,0.00,28.94,14.43
DOM,1996,DHS,1685,4.30,8.31,30.75,35.70,25.24,8.31,7.13,35.36,8.99,34.36,5.83,0.02,28.99,17.40
DOM,1999,DHS,1684,4.21,8.15,32.58,35.84,23.43,8.15,5.12,32.06,10.95,33.22,10.32,0.18,30.72,16.91
DOM,2000,MICS,1910,3.99,10.18,33.39,36.56,19.86,10.18,,,,,,,,
DOM,2002,DHS,1710,3.93,11.04,33.60,36.31,19.06,11.04,8.00,36.19,10.46,28.72,5.41,0.18,24.58,13.17
DOM,2002,IPUMS,910,3.96,9.92,33.12,37.50,19.46,9.92,7.62,39.08,12.64,27.59,3.14,0.00,30.04,13.89
DOM,2007,DHS,49,3.71,12.23,36.99,35.10,15.69,12.23,7.80,32.08,13.15,29.68,4.77,0.31,25.94,13.14
DOM,2010,IPUMS,4744,3.58,13.57,37.60,34.65,14.18,13.57,8.18,31.62,13.24,30.07,3.32,0.00,28.99,13.46
DOM,2013,DHS,5710,3.48,14.33,39.85,33.08,12.73,14.33,8.89,28.60,13.17,28.49,6.37,0.14,26.21,11.82
DOM,2014,MICS,5674,3.36,16.53,39.59,32.88,10.99,16.53,9.35,32.47,13.86,25.54,2.16,0.09,28.36,13.06
DOM,2019,MICS,7596,3.09,20.05,42.34,29.65,7.97,20.05,10.08,29.35,15.03,23.38,2.10,0.00,28.25,11.23
DOM,2022,DYB,7274,2.89,22.37,45.45,26.38,5.80,22.37,11.32,26.99,16.39,,,22.94,,
DZA,2012,MICS,4984,5.42,0.54,19.33,36.60,43.52,0.54,5.07,65.35,6.23,22.63,0.17,0.01,52.12,15.76
DZA,2019,MICS,7573,4.94,1.61,21.83,42.30,34.27,1.61,5.91,65.05,6.65,20.65,0.12,0.01,51.85,13.15
ECU,1974,IPUMS,1379,5.37,6.94,22.82,26.79,43.45,6.94,4.91,38.32,9.72,27.13,12.87,0.11,28.96,15.30
ECU,1982,IPUMS,1440,5.06,7.69,23.82,29.49,39.00,7.69,5.33,41.59,9.02,26.48,9.89,0.00,26.72,13.63
ECU,1990,IPUMS,921,4.68,7.64,26.62,33.65,32.10,7.64,5.95,43.53,9.37,23.67,9.84,0.00,27.07,12.21
ECU,2001,IPUMS,1162,4.19,9.16,31.40,36.11,23.33,9.16,6.47,37.32,10.97,30.28,5.80,0.00,29.22,13.00
ECU,2010,IPUMS,4768,3.78,12.12,35.91,35.49,16.48,12.12,7.22,36.05,12.42,28.02,4.16,0.00,29.12,12.97
ECU,2022,DYB,7295,3.25,16.58,41.77,32.71,8.94,16.61,9.62,35.32,16.79,,,21.66,,
EGY,1986,IPUMS,890,4.85,6.62,24.21,32.38,36.79,6.62,7.49,55.51,8.86,20.21,1.26,0.05,,
EGY,1993,DHS,1832,5.65,4.61,18.44,30.56,46.39,4.61,5.40,55.30,6.39,27.85,0.39,0.07,41.88,18.76
EGY,1995,DHS,1829,5.33,5.40,20.30,33.04,41.25,5.40,6.15,57.72,7.30,23.21,0.22,0.01,39.88,15.50
EGY,1996,IPUMS,1281,4.64,6.39,25.99,34.72,32.91,6.39,8.48,62.37,9.18,12.93,0.65,0.00,,
EGY,2000,DHS,1830,5.25,4.97,20.29,35.03,39.70,4.97,6.03,59.74,6.88,22.09,0.29,0.00,40.21,14.66
EGY,2003,DHS,778,5.05,5.76,22.51,36.35,35.37,5.76,6.94,55.44,7.24,24.37,0.26,0.00,40.43,15.83
EGY,2005,DHS,1806,4.88,5.27,23.70,38.75,32.27,5.27,7.59,61.05,7.07,18.78,0.24,0.00,39.02,12.59
EGY,2006,IPUMS,1563,4.19,6.60,29.93,41.18,22.28,6.60,9.75,64.28,9.55,9.29,0.52,0.00,32.16,4.61
EGY,2008,DHS,4685,4.61,5.48,26.10,40.62,27.80,5.48,8.67,61.34,7.79,16.52,0.20,0.00,37.36,11.33
EGY,2014,DHS,5711,4.13,6.48,30.40,43.12,20.00,6.48,10.53,65.04,7.09,10.73,0.13,0.00,30.63,7.54
EGY,2017,"Egypt - General Census for Population, Housing and Establishments 2017",5743,4.04,5.03,31.24,46.45,17.27,5.03,,,,20.99,0.37,,,
ESP,1991,IPUMS,1113,3.26,13.33,43.78,34.86,8.04,13.33,16.92,48.42,6.74,13.68,0.91,0.00,33.45,7.19
ESP,2001,DYB,1472,2.86,20.28,46.43,29.24,4.06,20.28,17.26,39.13,8.09,,,15.25,,
ESP,2001,IPUMS,1472,2.86,20.28,46.42,29.24,4.06,20.28,17.26,40.33,8.45,10.46,3.22,0.00,,
ESP,2011,DYB,4845,2.58,23.19,51.75,23.29,1.78,23.19,21.04,34.96,9.36,,,11.45,,
ESP,2011,IPUMS,4845,2.58,23.19,51.75,23.29,1.78,23.19,,,,,,,,
ESP,2021,DYB,7139,2.55,26.98,48.73,21.73,2.56,26.95,17.11,29.05,11.66,,,15.23,,
EST,2000,DYB,1400,2.35,33.52,47.16,17.54,1.78,33.52,16.97,26.00,12.14,,,11.37,,
EST,2001,LFS,9503,2.63,22.78,52.03,22.43,2.76,22.78,,,,,,,,
EST,2011,LFS,9504,2.30,33.90,47.28,17.14,1.67,33.90,,,,,,,,
ETH,1984,IPUMS,1191,4.45,14.09,28.38,26.56,30.97,14.09,,,,,,,,
ETH,1994,IPUMS,1410,4.78,6.11,27.29,31.18,35.42,6.11,5.97,48.04,13.03,,,0.00,,
ETH,2000,DHS,1694,4.82,5.13,25.95,33.39,35.54,5.13,4.23,43.86,10.89,28.56,7.32,0.02,24.27,11.98
ETH,2005,DHS,1858,5.03,5.00,22.88,32.49,39.63,5.00,3.68,48.75,9.89,27.69,4.98,0.01,25.58,11.76
ETH,2007,DYB,1011,4.69,8.30,26.22,29.84,35.65,8.30,,,,,,,,
ETH,2007,IPUMS,1011,4.45,8.34,27.80,31.24,32.62,8.34,5.39,48.23,12.20,21.12,4.74,0.00,18.22,6.30
ETH,2011,DHS,5053,4.64,7.58,26.89,31.87,33.66,7.58,4.67,45.94,10.24,26.88,4.66,0.03,21.91,10.81
ETH,2016,DHS,5808,4.61,7.52,27.01,32.00,33.47,7.52,4.77,47.07,11.65,25.37,3.63,0.00,22.52,11.67
ETH,2019,DHS,7685,4.73,6.36,27.23,31.32,35.10,6.36,5.21,48.64,9.05,26.47,4.28,0.00,25.06,11.45
FIN,2011,DYB,4821,2.07,41.01,44.46,12.97,1.57,41.01,26.88,21.43,6.68,,,4.01,,
FIN,2021,DYB,7311,1.96,45.34,42.42,10.94,1.30,45.34,27.38,17.85,6.39,,,3.05,,
FJI,1966,IPUMS,1048,6.30,3.38,17.36,23.81,55.45,3.38,,,,,,,,
FJI,1976,IPUMS,969,5.96,3.21,17.92,27.11,51.77,3.21,4.70,38.23,4.53,41.92,7.42,0.00,32.97,20.29
FJI,1986,IPUMS,1361,5.85,3.62,17.36,30.61,48.41,3.62,4.28,30.76,3.94,53.70,3.68,0.03,38.57,25.44
FJI,1996,IPUMS,1571,5.31,3.98,20.57,35.29,40.16,3.98,4.86,37.16,5.04,46.18,2.78,0.00,36.38,21.67
FJI,2007,IPUMS,1064,4.78,5.55,27.27,35.21,31.98,5.55,7.10,30.31,5.18,49.02,2.84,0.00,42.41,21.66
FJI,2017,IPUMS,7225,4.57,5.94,30.10,34.31,29.64,5.94,8.84,38.10,5.80,39.97,1.33,0.00,45.06,22.13
FJI,2021,MICS,7803,4.22,7.95,35.51,31.71,24.83,7.95,10.52,32.13,8.17,40.38,0.84,0.00,43.61,22.44
FRA,1962,IPUMS,410,3.11,19.60,45.51,24.12,10.77,19.60,20.96,,,,4.89,0.00,,
FRA,1968,IPUMS,1396,3.06,20.26,45.51,24.29,9.94,20.26,21.05,,,,3.93,0.00,,
FRA,1975,IPUMS,60,2.88,22.18,46.99,23.57,7.26,22.18,22.29,,,,2.48,0.00,,
FRA,1982,IPUMS,363,2.71,24.65,47.22,23.53,4.59,24.65,23.17,,,,1.70,0.00,,
FRA,1990,IPUMS,1211,2.57,27.13,47.31,22.33,3.23,27.13,23.69,,,,1.32,0.00,,
FRA,1999,IPUMS,1216,2.40,30.98,47.34,19.30,2.38,30.98,24.79,,,,1.02,0.00,,
FRA,2001,LFS,9505,2.35,31.39,48.14,18.51,1.96,31.39,,,,,,,,
FRA,2006,IPUMS,4488,2.31,32.84,47.62,17.60,1.94,32.84,25.78,,,,1.08,0.00,,
FRA,2009,IPUMS,5756,2.26,34.10,47.43,16.73,1.75,34.10,25.85,,,,1.33,0.00,,
FRA,2011,LFS,9506,2.25,34.37,47.10,16.97,1.57,34.37,,,,,,,,
FRA,2013,DYB,5760,2.22,35.46,46.84,16.08,1.62,35.46,25.80,25.54,8.57,,,4.62,,
FRA,2020,DYB,9331,2.15,38.21,45.40,14.84,1.55,38.21,25.38,23.82,9.17,,,3.42,,
GAB,2000,DHS,1737,4.97,19.29,25.74,19.40,35.57,19.29,7.52,13.94,5.33,38.47,15.46,0.00,24.76,17.88
GAB,2012,DHS,5054,4.10,22.42,28.48,22.50,26.60,22.42,7.31,19.52,8.63,38.83,3.27,0.02,21.71,15.06
GAB,2020,DHS,7622,3.92,22.50,29.40,23.82,24.27,22.50,6.44,21.46,10.47,35.88,3.25,0.00,23.74,15.83
GBR,1961,IPUMS,958,3.06,13.92,51.10,28.20,6.78,13.92,,,,,,,,
GBR,1971,IPUMS,1259,2.86,19.43,49.30,25.28,5.99,19.43,,,,,,,,
GBR,1991,IPUMS,1074,2.48,26.45,50.12,21.23,2.20,26.45,26.36,31.87,8.04,4.22,3.06,0.00,14.57,1.48
GBR,2001,LFS,9519,2.34,30.16,49.79,18.23,1.81,30.16,,,,,,,,
GBR,2011,DYB,4855,2.35,30.58,49.67,17.50,2.24,30.58,25.56,25.21,10.69,,,7.97,,
GEO,2002,DYB,322,3.52,16.30,34.54,35.51,13.64,16.30,,,,,,,,
GEO,2005,MICS,1900,3.64,14.72,33.04,35.76,16.48,14.72,10.31,29.83,8.27,36.63,0.24,0.00,53.70,28.61
GEO,2014,DYB,4783,3.34,17.48,39.28,30.60,12.64,17.48,10.25,25.67,11.22,,,35.38,,
GEO,2018,MICS,7580,3.42,14.97,40.74,30.02,14.27,14.97,12.28,22.68,8.85,40.50,0.72,0.00,51.80,27.93
GHA,1984,IPUMS,953,5.01,18.67,23.62,22.06,35.65,18.67,3.13,20.32,13.62,,,0.00,25.76,17.17
GHA,1993,DHS,1754,3.77,24.32,27.93,25.55,22.20,24.32,3.37,23.94,19.38,25.95,3.04,0.00,12.59,8.12
GHA,1999,DHS,1751,3.61,26.13,28.40,24.57,20.89,26.13,4.08,24.57,16.72,26.41,2.08,0.00,16.70,10.40
GHA,2000,IPUMS,1585,5.08,12.59,23.83,24.62,38.96,12.59,2.81,16.15,8.91,50.21,9.34,0.00,25.73,13.41
GHA,2003,DHS,1752,4.03,20.76,26.25,27.56,25.43,20.76,3.48,26.40,13.58,32.81,2.91,0.07,20.79,13.24
GHA,2006,MICS,166,4.20,17.79,26.24,28.56,27.42,17.79,3.48,30.82,11.83,32.96,3.01,0.11,24.47,13.72
GHA,2008,DHS,4688,3.75,21.93,30.39,26.22,21.47,21.93,4.65,27.13,14.49,29.66,2.15,0.00,21.29,11.06
GHA,2010,IPUMS,4714,4.41,17.57,27.19,25.82,29.42,17.57,3.85,24.39,12.91,36.12,5.16,0.00,27.39,13.94
GHA,2011,MICS,5000,3.87,20.32,29.88,26.72,23.07,20.32,4.38,30.50,13.15,28.29,3.35,0.00,20.17,11.31
GHA,2014,DHS,5778,3.49,25.88,30.34,25.30,18.48,25.88,5.53,27.15,13.89,25.31,2.24,0.00,17.58,9.69
GHA,2017,MICS,5636,4.70,11.01,25.10,30.71,33.18,11.01,3.15,30.48,14.99,37.98,2.37,0.02,30.16,19.21
GHA,2019,DHS,7806,3.83,21.48,29.52,27.10,21.90,21.48,3.35,24.74,13.45,34.39,2.55,0.03,25.17,16.13
GHA,2022,DHS,9479,3.55,24.65,31.10,25.62,18.63,24.65,4.35,25.18,15.68,28.07,2.07,0.00,22.10,12.38
GIN,1983,IPUMS,1190,6.23,5.71,22.94,25.21,46.15,5.71,5.88,23.38,5.45,48.64,10.75,0.19,,
GIN,1996,IPUMS,1036,6.78,5.88,18.21,23.25,52.67,5.88,3.66,19.44,5.48,51.89,11.72,1.94,28.23,18.95
GIN,1999,DHS,1739,6.62,4.64,16.07,24.84,54.45,4.64,3.55,27.60,4.65,54.70,4.58,0.27,32.60,23.20
GIN,2005,DHS,1740,6.09,5.40,18.21,26.49,49.89,5.40,3.41,30.32,5.20,53.53,2.09,0.04,28.62,20.48
GIN,2012,DHS,5422,6.25,4.53,16.91,27.52,51.04,4.53,3.26,28.75,5.42,53.84,4.17,0.02,32.33,24.35
GIN,2014,IPUMS,5254,7.15,4.77,16.46,22.76,56.01,4.77,3.29,21.60,5.53,61.75,3.06,0.00,34.31,19.36
GIN,2016,MICS,5676,5.95,4.80,18.95,28.86,47.39,4.80,3.67,33.75,5.97,49.31,2.48,0.02,28.44,18.67
GIN,2021,DHS,7809,6.39,5.07,16.58,26.03,52.32,5.07,3.95,26.19,4.41,56.46,3.91,0.00,34.98,26.64
GMB,2000,MICS,1907,6.66,11.18,16.50,21.15,51.17,11.18,,,,,,,,
GMB,2006,MICS,736,7.39,9.43,14.04,20.02,56.51,9.43,3.08,24.23,4.94,52.85,5.06,0.40,39.80,27.68
GMB,2010,MICS,4998,8.09,9.31,12.67,17.73,60.30,9.31,2.48,22.62,4.36,53.50,5.35,2.38,43.73,32.03
GMB,2013,DHS,5462,8.23,8.39,12.96,17.23,61.42,8.39,2.16,21.36,4.78,56.23,6.92,0.16,45.56,32.31
GMB,2018,MICS,7579,8.00,9.11,12.80,17.96,60.14,9.11,2.11,20.00,5.86,52.16,10.68,0.09,42.32,30.83
GMB,2020,DHS,7686,8.07,9.72,14.03,17.68,58.57,9.72,2.20,18.98,4.97,50.31,13.82,0.00,41.86,30.63
GNB,2000,MICS,1895,8.01,0.19,4.01,19.68,76.12,0.19,,,,,,,,
GNB,2006,MICS,176,7.79,0.35,7.93,22.55,69.17,0.35,1.06,21.81,2.42,69.72,4.02,0.62,42.66,28.98
GNB,2014,MICS,5637,7.26,3.21,13.47,21.97,61.36,3.21,1.71,17.36,4.31,69.19,1.52,0.01,40.91,31.64
GNB,2019,MICS,7571,6.81,4.14,14.29,25.22,56.35,4.14,1.73,19.83,4.76,67.80,1.72,0.03,42.16,30.54
GNQ,2000,MICS,1921,5.30,14.14,23.85,20.04,41.98,14.14,,,,,,,,
GRC,1971,IPUMS,1183,3.39,11.26,42.86,36.44,9.44,11.26,14.84,41.25,5.64,24.09,0.87,2.05,31.49,14.23
GRC,1981,IPUMS,1389,3.14,14.16,45.07,34.48,6.29,14.16,18.77,43.44,4.55,18.02,1.06,0.00,26.97,10.65
GRC,1991,IPUMS,1622,2.97,16.34,47.26,31.69,4.71,16.34,20.11,42.42,5.37,14.68,1.08,0.00,29.26,7.99
GRC,2001,IPUMS,282,2.80,19.83,49.15,27.18,3.85,19.83,20.36,37.73,6.65,12.04,3.40,0.00,30.77,5.88
GRC,2011,IPUMS,4824,2.56,25.74,49.16,22.64,2.46,25.74,20.75,33.72,8.15,,,0.00,,
GTM,1964,IPUMS,1046,5.23,5.49,22.06,30.04,42.41,5.49,4.68,46.01,8.92,26.08,8.82,0.00,26.90,15.49
GTM,1973,IPUMS,1516,4.99,4.73,26.14,30.98,38.15,4.73,6.69,49.07,9.10,22.47,7.48,0.46,25.33,13.12
GTM,1981,IPUMS,1416,5.20,3.89,22.37,32.25,41.49,3.89,5.34,52.79,7.38,25.25,5.18,0.16,27.57,13.92
GTM,1994,IPUMS,1519,5.21,4.15,22.27,32.74,40.84,4.15,5.15,49.10,8.03,25.93,7.66,0.00,29.15,14.92
GTM,1995,DHS,1770,5.26,3.80,21.11,33.88,41.21,3.80,5.23,46.82,9.73,27.24,7.09,0.08,32.79,20.02
GTM,1999,DHS,207,5.28,4.10,23.43,32.07,40.40,4.10,4.95,47.79,9.18,28.23,5.74,0.01,33.58,19.24
GTM,2002,IPUMS,1150,5.08,4.87,23.62,33.51,37.99,4.87,5.31,48.05,9.77,27.07,4.92,0.00,34.25,19.40
GTM,2015,DHS,5790,4.81,4.33,26.57,37.51,31.60,4.33,5.28,42.84,12.58,30.78,4.19,0.00,38.70,22.70
GUM,2010,DYB,4858,,14.65,,,,14.65,,54.28,27.10,,,,,
GUY,2000,MICS,1939,4.18,9.41,30.52,37.17,22.90,9.41,,,,,,,,
