iso3,year,activity,size,measure,value
SWE,2017,M74,S10T49,ENTR,288
SWE,2017,M74,S1T9,EMPN,14777
SWE,2017,M74,S1T9,ENTR,33249
SWE,2017,M74,S50T249,EMPN,3269
SWE,2017,M74,S50T249,ENTR,30
SWE,2017,M74,S_GE250,EMPN,0
SWE,2017,M74,S_GE250,ENTR,3
SWE,2017,M74,_T,EMPN,29385
SWE,2017,M74,_T,ENTR,33570
SWE,2017,M75,S10T49,ENTR,70
SWE,2017,M75,S1T9,EMPN,0
SWE,2017,M75,S1T9,ENTR,1322
SWE,2017,M75,S50T249,EMPN,1457
SWE,2017,M75,S50T249,ENTR,13
SWE,2017,M75,S_GE250,EMPN,0
SWE,2017,M75,S_GE250,ENTR,2
SWE,2017,M75,_T,EMPN,6570
SWE,2017,M75,_T,ENTR,1407
SWE,2017,N,S10T49,EMPN,56468
SWE,2017,N,S10T49,ENTR,2242
SWE,2017,N,S1T9,EMPN,46802
SWE,2017,N,S1T9,ENTR,37091
SWE,2017,N,S50T249,EMPN,67624
SWE,2017,N,S50T249,ENTR,500
SWE,2017,N,S_GE250,EMPN,179892
SWE,2017,N,S_GE250,ENTR,125
SWE,2017,N,_T,EMPN,350786
SWE,2017,N,_T,ENTR,39958
SWE,2017,N77,S10T49,EMPN,4637
SWE,2017,N77,S10T49,ENTR,221
SWE,2017,N77,S1T9,EMPN,6004
SWE,2017,N77,S1T9,ENTR,6178
SWE,2017,N77,S50T249,EMPN,3249
SWE,2017,N77,S50T249,ENTR,30
SWE,2017,N77,S_GE250,EMPN,3442
SWE,2017,N77,S_GE250,ENTR,6
SWE,2017,N77,_T,EMPN,17331
SWE,2017,N77,_T,ENTR,6435
SWE,2017,N78,S10T49,EMPN,18012
SWE,2017,N78,S10T49,ENTR,603
SWE,2017,N78,S1T9,EMPN,8766
SWE,2017,N78,S1T9,ENTR,4597
SWE,2017,N78,S50T249,EMPN,33867
SWE,2017,N78,S50T249,ENTR,207
SWE,2017,N78,S_GE250,EMPN,85870
SWE,2017,N78,S_GE250,ENTR,65
SWE,2017,N78,_T,EMPN,146515
SWE,2017,N78,_T,ENTR,5472
SWE,2017,N79,S10T49,EMPN,2534
SWE,2017,N79,S10T49,ENTR,120
SWE,2017,N79,S1T9,EMPN,3491
SWE,2017,N79,S1T9,ENTR,3505
SWE,2017,N79,S50T249,EMPN,2579
SWE,2017,N79,S50T249,ENTR,22
SWE,2017,N79,S_GE250,EMPN,3086
SWE,2017,N79,S_GE250,ENTR,7
SWE,2017,N79,_T,EMPN,11690
SWE,2017,N79,_T,ENTR,3654
SWE,2017,N80,S10T49,EMPN,2820
SWE,2017,N80,S10T49,ENTR,112
SWE,2017,N80,S1T9,EMPN,1597
SWE,2017,N80,S1T9,ENTR,803
SWE,2017,N80,S50T249,EMPN,3320
SWE,2017,N80,S50T249,ENTR,23
SWE,2017,N80,S_GE250,EMPN,19460
SWE,2017,N80,S_GE250,ENTR,10
SWE,2017,N80,_T,EMPN,27197
SWE,2017,N80,_T,ENTR,948
SWE,2017,N81,S10T49,EMPN,23078
SWE,2017,N81,S10T49,ENTR,973
SWE,2017,N81,S1T9,EMPN,23291
SWE,2017,N81,S1T9,ENTR,17749
SWE,2017,N81,S50T249,EMPN,16854
SWE,2017,N81,S50T249,ENTR,151
SWE,2017,N81,S_GE250,EMPN,35410
SWE,2017,N81,S_GE250,ENTR,26
SWE,2017,N81,_T,EMPN,98633
SWE,2017,N81,_T,ENTR,18899
SWE,2017,N82,S10T49,EMPN,5388
SWE,2017,N82,S10T49,ENTR,213
SWE,2017,N82,S1T9,EMPN,3651
SWE,2017,N82,S1T9,ENTR,4259
SWE,2017,N82,S50T249,EMPN,7756
SWE,2017,N82,S50T249,ENTR,67
SWE,2017,N82,S_GE250,EMPN,32624
SWE,2017,N82,S_GE250,ENTR,11
SWE,2017,N82,_T,EMPN,49420
SWE,2017,N82,_T,ENTR,4550
SWE,2017,S95,S10T49,EMPN,1018
SWE,2017,S95,S10T49,ENTR,49
SWE,2017,S95,S1T9,EMPN,0
SWE,2017,S95,S1T9,ENTR,4187
SWE,2017,S95,S50T249,EMPN,963
SWE,2017,S95,S50T249,ENTR,7
SWE,2017,S95,S_GE250,EMPN,0
SWE,2017,S95,S_GE250,ENTR,1
SWE,2017,S95,_T,EMPN,5102
SWE,2017,S95,_T,ENTR,4244
SWE,2018,B,S10T49,EMPN,843
SWE,2018,B,S10T49,ENTR,38
SWE,2018,B,S1T9,EMPN,739
SWE,2018,B,S1T9,ENTR,554
SWE,2018,B,S50T249,EMPN,1023
SWE,2018,B,S50T249,ENTR,9
SWE,2018,B,S_GE250,EMPN,5294
SWE,2018,B,S_GE250,ENTR,2
SWE,2018,B,_T,EMPN,7898
SWE,2018,B,_T,ENTR,603
SWE,2018,B05,S10T49,ENTR,0
SWE,2018,B05,S1T9,EMPN,0
SWE,2018,B05,S1T9,ENTR,0
SWE,2018,B05,S50T249,EMPN,0
SWE,2018,B05,S50T249,ENTR,0
SWE,2018,B05,S_GE250,EMPN,0
SWE,2018,B05,S_GE250,ENTR,0
SWE,2018,B05,_T,EMPN,0
SWE,2018,B05,_T,ENTR,0
SWE,2018,B06,S10T49,EMPN,0
SWE,2018,B06,S10T49,ENTR,0
SWE,2018,B06,S1T9,EMPN,0
SWE,2018,B06,S1T9,ENTR,0
SWE,2018,B06,S50T249,EMPN,0
SWE,2018,B06,S50T249,ENTR,0
SWE,2018,B06,S_GE250,EMPN,0
SWE,2018,B06,S_GE250,ENTR,0
SWE,2018,B06,_T,EMPN,0
SWE,2018,B06,_T,ENTR,0
SWE,2018,B07,S10T49,ENTR,2
SWE,2018,B07,S1T9,EMPN,34
SWE,2018,B07,S1T9,ENTR,31
SWE,2018,B07,S50T249,EMPN,0
SWE,2018,B07,S50T249,ENTR,1
SWE,2018,B07,S_GE250,EMPN,0
SWE,2018,B07,S_GE250,ENTR,2
SWE,2018,B07,_T,EMPN,0
SWE,2018,B07,_T,ENTR,36
SWE,2018,B08,S10T49,EMPN,777
SWE,2018,B08,S10T49,ENTR,34
