iso3,row,product,value
ARG,CPA_B,CPA_R90-92,0.038
ARG,CPA_B,CPA_R93,0.261
ARG,CPA_B,CPA_S94,0.143
ARG,CPA_B,CPA_S95,0.001
ARG,CPA_B,CPA_S96,0.000
ARG,CPA_B,CPA_T,0.000
ARG,CPA_B,CPA_U,0.000
ARG,CPA_C10-12,CPA_A01,2416.960
ARG,CPA_C10-12,CPA_A02,0.283
ARG,CPA_C10-12,CPA_A03,13.286
ARG,CPA_C10-12,CPA_B,13.742
ARG,CPA_C10-12,CPA_C10-12,9068.707
ARG,CPA_C10-12,CPA_C13-15,53.869
ARG,CPA_C10-12,CPA_C16,1.088
ARG,CPA_C10-12,CPA_C17,22.287
ARG,CPA_C10-12,CPA_C18,15.038
ARG,CPA_C10-12,CPA_C19,20.516
ARG,CPA_C10-12,CPA_C20,365.705
ARG,CPA_C10-12,CPA_C21,142.832
ARG,CPA_C10-12,CPA_C22,16.996
ARG,CPA_C10-12,CPA_C23,6.723
ARG,CPA_C10-12,CPA_C24,51.401
ARG,CPA_C10-12,CPA_C25,30.170
ARG,CPA_C10-12,CPA_C26,41.396
ARG,CPA_C10-12,CPA_C27,23.808
ARG,CPA_C10-12,CPA_C28,64.631
ARG,CPA_C10-12,CPA_C29,13.958
ARG,CPA_C10-12,CPA_C30,3.567
ARG,CPA_C10-12,CPA_C31_32,3.865
ARG,CPA_C10-12,CPA_C33,4.446
ARG,CPA_C10-12,CPA_D35,0.606
ARG,CPA_C10-12,CPA_E36,0.000
ARG,CPA_C10-12,CPA_E37-39,65.403
ARG,CPA_C10-12,CPA_F,47.366
ARG,CPA_C10-12,CPA_G45,8.788
ARG,CPA_C10-12,CPA_G46,235.655
ARG,CPA_C10-12,CPA_G47,31.710
ARG,CPA_C10-12,CPA_H49,21.325
ARG,CPA_C10-12,CPA_H50,0.000
ARG,CPA_C10-12,CPA_H51,0.000
ARG,CPA_C10-12,CPA_H52,0.000
ARG,CPA_C10-12,CPA_H53,0.000
ARG,CPA_C10-12,CPA_I,5329.496
ARG,CPA_C10-12,CPA_J58,21.968
ARG,CPA_C10-12,CPA_J59_60,9.731
ARG,CPA_C10-12,CPA_J61,0.675
ARG,CPA_C10-12,CPA_J62_63,0.199
ARG,CPA_C10-12,CPA_K64,0.219
ARG,CPA_C10-12,CPA_K65,2.040
ARG,CPA_C10-12,CPA_K66,0.002
ARG,CPA_C10-12,CPA_L,69.150
ARG,CPA_C10-12,CPA_M69_70,0.013
ARG,CPA_C10-12,CPA_M71,48.843
ARG,CPA_C10-12,CPA_M72,14.360
ARG,CPA_C10-12,CPA_M73,3.308
ARG,CPA_C10-12,CPA_M74_75,3.468
ARG,CPA_C10-12,CPA_N77,20.069
ARG,CPA_C10-12,CPA_N78,0.001
ARG,CPA_C10-12,CPA_N79,0.000
ARG,CPA_C10-12,CPA_N80-82,6.781
ARG,CPA_C10-12,CPA_O84,195.961
ARG,CPA_C10-12,CPA_P85,129.215
ARG,CPA_C10-12,CPA_Q86,402.747
ARG,CPA_C10-12,CPA_Q87_88,17.750
ARG,CPA_C10-12,CPA_R90-92,0.659
ARG,CPA_C10-12,CPA_R93,9.376
ARG,CPA_C10-12,CPA_S94,74.372
ARG,CPA_C10-12,CPA_S95,0.032
ARG,CPA_C10-12,CPA_S96,0.630
ARG,CPA_C10-12,CPA_T,0.000
ARG,CPA_C10-12,CPA_U,0.000
ARG,CPA_C13-15,CPA_A01,136.629
ARG,CPA_C13-15,CPA_A02,0.207
ARG,CPA_C13-15,CPA_A03,9.288
ARG,CPA_C13-15,CPA_B,50.922
ARG,CPA_C13-15,CPA_C10-12,162.241
ARG,CPA_C13-15,CPA_C13-15,2194.591
ARG,CPA_C13-15,CPA_C16,5.940
ARG,CPA_C13-15,CPA_C17,73.998
ARG,CPA_C13-15,CPA_C18,13.945
ARG,CPA_C13-15,CPA_C19,18.499
ARG,CPA_C13-15,CPA_C20,75.327
ARG,CPA_C13-15,CPA_C21,27.277
ARG,CPA_C13-15,CPA_C22,374.146
ARG,CPA_C13-15,CPA_C23,25.970
ARG,CPA_C13-15,CPA_C24,42.930
ARG,CPA_C13-15,CPA_C25,29.540
ARG,CPA_C13-15,CPA_C26,39.836
ARG,CPA_C13-15,CPA_C27,25.381
ARG,CPA_C13-15,CPA_C28,69.271
ARG,CPA_C13-15,CPA_C29,48.889
ARG,CPA_C13-15,CPA_C30,3.841
ARG,CPA_C13-15,CPA_C31_32,89.071
ARG,CPA_C13-15,CPA_C33,9.331
ARG,CPA_C13-15,CPA_D35,0.304
ARG,CPA_C13-15,CPA_E36,0.112
