iso3,year,activity,status,value,source
AGO,2020,TOTAL,TOTAL,10603.018,LFS - Employment Survey
AGO,2020,U,TOTAL,1.009,LFS - Employment Survey
AGO,2020,X,TOTAL,309.192,LFS - Employment Survey
AGO,2021,A,2,795.194,LFS - Employment Survey
AGO,2021,A,3,2920.68,LFS - Employment Survey
AGO,2021,A,TOTAL,6029.067,LFS - Employment Survey
AGO,2021,B,2,4.006,LFS - Employment Survey
AGO,2021,B,3,25.71,LFS - Employment Survey
AGO,2021,B,TOTAL,79.423,LFS - Employment Survey
AGO,2021,C,2,47.034,LFS - Employment Survey
AGO,2021,C,3,79.383,LFS - Employment Survey
AGO,2021,C,TOTAL,258.961,LFS - Employment Survey
AGO,2021,D,2,1.847,LFS - Employment Survey
AGO,2021,D,3,2.13,LFS - Employment Survey
AGO,2021,D,TOTAL,23.444,LFS - Employment Survey
AGO,2021,E,TOTAL,13.376,LFS - Employment Survey
AGO,2021,F,2,94.628,LFS - Employment Survey
AGO,2021,F,3,98.6,LFS - Employment Survey
AGO,2021,F,TOTAL,319.4,LFS - Employment Survey
AGO,2021,G,2,107.863,LFS - Employment Survey
AGO,2021,G,3,1599.771,LFS - Employment Survey
AGO,2021,G,TOTAL,2065.812,LFS - Employment Survey
AGO,2021,H,2,19.487,LFS - Employment Survey
AGO,2021,H,3,143.864,LFS - Employment Survey
AGO,2021,H,TOTAL,345.083,LFS - Employment Survey
AGO,2021,I,2,10.148,LFS - Employment Survey
AGO,2021,I,3,2.333,LFS - Employment Survey
AGO,2021,I,TOTAL,81.569,LFS - Employment Survey
AGO,2021,J,2,2.161,LFS - Employment Survey
AGO,2021,J,3,5.348,LFS - Employment Survey
AGO,2021,J,TOTAL,34.663,LFS - Employment Survey
AGO,2021,K,3,6.136,LFS - Employment Survey
AGO,2021,K,TOTAL,36.79,LFS - Employment Survey
AGO,2021,L,TOTAL,6.207,LFS - Employment Survey
AGO,2021,M,3,1.744,LFS - Employment Survey
AGO,2021,M,TOTAL,18.484,LFS - Employment Survey
AGO,2021,N,2,6.205,LFS - Employment Survey
AGO,2021,N,3,12.511,LFS - Employment Survey
AGO,2021,N,TOTAL,215.425,LFS - Employment Survey
AGO,2021,O,TOTAL,514.302,LFS - Employment Survey
AGO,2021,P,2,1.881,LFS - Employment Survey
AGO,2021,P,3,5.697,LFS - Employment Survey
AGO,2021,P,TOTAL,313.237,LFS - Employment Survey
AGO,2021,Q,2,0.907,LFS - Employment Survey
AGO,2021,Q,3,4.184,LFS - Employment Survey
AGO,2021,Q,TOTAL,109.908,LFS - Employment Survey
AGO,2021,R,3,1.508,LFS - Employment Survey
AGO,2021,R,TOTAL,7.227,LFS - Employment Survey
