iso3,year,activity,occupation,value,source
ARG,2019,L,TOTAL,35.99,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,X,36.71,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,1,42.48,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,2,36.22,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,3,31.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,4,33.09,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,5,35.09,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,6,45.94,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,7,36.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,8,36.04,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,9,33.69,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,TOTAL,35.59,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,M,X,34.21,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,1,40.91,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,2,35.73,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,3,34.08,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,4,35.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,5,40.62,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,7,41.84,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,8,39.04,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,9,36.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,TOTAL,38.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,N,X,36.75,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,0,48.36,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,1,38.58,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,2,34.72,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,3,40.13,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,4,35.27,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,5,44.02,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,6,22.53,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,7,36.75,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,8,39.85,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,9,29.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,TOTAL,37.22,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,O,X,36.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,1,33.32,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,2,23.83,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,3,32.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,4,31.62,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,5,28.83,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,7,36.55,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,8,28.96,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,9,30.49,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,TOTAL,26.32,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,P,X,30.52,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,1,36.5,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,2,32.32,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,3,35.77,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,4,34.95,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,5,34.55,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,7,39.43,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,8,43.31,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,9,36.03,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,TOTAL,34.68,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,Q,X,37.33,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,1,32.09,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,2,23.03,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,3,25.82,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,4,33.46,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,5,38.08,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,6,32.33,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,7,43.03,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,8,42.21,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,9,33.05,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,TOTAL,30.33,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,R,X,33.82,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,1,42.71,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,2,23.73,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,3,31.32,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,4,35.81,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,5,28.96,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,7,29.45,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,8,31.85,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,9,36.33,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,TOTAL,31.37,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,S,X,33.82,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,T,3,47.31,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,T,5,28.52,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,T,7,23.45,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,T,9,20.15,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,T,TOTAL,22.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,T,X,36.05,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,0,48.73,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,1,43.63,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,2,30.21,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,3,37.14,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,4,36.99,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,5,39.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,6,36.92,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,7,37.58,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,8,45.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,9,30.04,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,TOTAL,36.77,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,TOTAL,X,38.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,U,TOTAL,43.88,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,1,40.29,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,2,20.41,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,3,33.38,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,4,37.14,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,5,34.93,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,6,56.48,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,7,38.49,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,8,40.68,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,9,38.68,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,TOTAL,31.41,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,X,X,37.47,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,1,45,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,2,36.31,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,3,50.02,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,4,35.42,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,5,52.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,6,38.74,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,7,41.36,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,8,43.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,9,37.03,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,TOTAL,40.84,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,A,X,41.27,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,1,48.34,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,2,39.84,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,3,52.48,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,4,36.49,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,5,54.7,"LFS - Encuesta Permanente de Hogares, Urbano"
