iso3,year,sex,age,disabled,total,source
ARM,2017,F,25-54,23.911,597.104,LFS - Household Labour Force Survey
ARM,2017,F,55-64,32.38,226.05,LFS - Household Labour Force Survey
ARM,2017,F,GE65,21.355,118.832,LFS - Household Labour Force Survey
ARM,2017,M,15-24,2.684,179.88,LFS - Household Labour Force Survey
ARM,2017,M,25-54,32.846,477.432,LFS - Household Labour Force Survey
ARM,2017,M,55-64,28.213,170.26,LFS - Household Labour Force Survey
ARM,2017,M,GE65,19.49,86.961,LFS - Household Labour Force Survey
ARM,2018,F,15-24,2.578,196.081,LFS - Household Labour Force Survey
ARM,2018,F,25-54,27.669,631.676,LFS - Household Labour Force Survey
ARM,2018,F,55-64,36.201,245.427,LFS - Household Labour Force Survey
ARM,2018,F,GE65,20.016,105.761,LFS - Household Labour Force Survey
ARM,2018,M,15-24,5.719,184.968,LFS - Household Labour Force Survey
ARM,2018,M,25-54,31.655,564.428,LFS - Household Labour Force Survey
ARM,2018,M,55-64,33.802,201.837,LFS - Household Labour Force Survey
ARM,2018,M,GE65,17.086,75.935,LFS - Household Labour Force Survey
ARM,2019,F,15-24,2.273,168.529,LFS - Household Labour Force Survey
ARM,2019,F,25-54,24.415,640.291,LFS - Household Labour Force Survey
ARM,2019,F,55-64,36.208,254.867,LFS - Household Labour Force Survey
ARM,2019,F,GE65,21.918,116.067,LFS - Household Labour Force Survey
ARM,2019,M,15-24,3.425,183.308,LFS - Household Labour Force Survey
ARM,2019,M,25-54,30.75,561.224,LFS - Household Labour Force Survey
ARM,2019,M,55-64,33.326,194.818,LFS - Household Labour Force Survey
ARM,2019,M,GE65,16.611,85.297,LFS - Household Labour Force Survey
ARM,2020,F,15-24,2.449,164.772,LFS - Household Labour Force Survey
ARM,2020,F,25-54,18.513,625.349,LFS - Household Labour Force Survey
ARM,2020,F,55-64,37.846,262.168,LFS - Household Labour Force Survey
ARM,2020,F,GE65,35.386,223.537,LFS - Household Labour Force Survey
ARM,2020,M,15-24,4.115,176.83,LFS - Household Labour Force Survey
ARM,2020,M,25-54,33.849,537.562,LFS - Household Labour Force Survey
ARM,2020,M,55-64,32.222,201.468,LFS - Household Labour Force Survey
ARM,2020,M,GE65,28.57,144.8,LFS - Household Labour Force Survey
ARM,2021,F,15-24,1.352,169.231,LFS - Household Labour Force Survey
ARM,2021,F,25-54,19.622,630.984,LFS - Household Labour Force Survey
ARM,2021,F,55-64,33.492,264.445,LFS - Household Labour Force Survey
ARM,2021,F,GE65,34.832,245.39,LFS - Household Labour Force Survey
ARM,2021,M,15-24,5.954,173.024,LFS - Household Labour Force Survey
ARM,2021,M,25-54,29.833,513.221,LFS - Household Labour Force Survey
ARM,2021,M,55-64,32.319,216.221,LFS - Household Labour Force Survey
ARM,2021,M,GE65,27.931,152.121,LFS - Household Labour Force Survey
ARM,2022,F,15-24,1.606,155.3,LFS - Household Labour Force Survey
ARM,2022,F,25-54,18.901,625.331,LFS - Household Labour Force Survey
ARM,2022,F,55-64,31.108,268.236,LFS - Household Labour Force Survey
ARM,2022,F,GE65,38.965,240.674,LFS - Household Labour Force Survey
ARM,2022,M,15-24,4.019,176.639,LFS - Household Labour Force Survey
ARM,2022,M,25-54,32.652,557.957,LFS - Household Labour Force Survey
ARM,2022,M,55-64,34.978,194.611,LFS - Household Labour Force Survey
ARM,2022,M,GE65,34.931,153.762,LFS - Household Labour Force Survey
ARM,2023,F,15-24,1.265,150.105,LFS - Household Labour Force Survey
ARM,2023,F,25-54,16.821,619.879,LFS - Household Labour Force Survey
ARM,2023,F,55-64,26.249,234.29,LFS - Household Labour Force Survey
ARM,2023,F,GE65,44.829,288.791,LFS - Household Labour Force Survey
ARM,2023,M,15-24,3.822,169.103,LFS - Household Labour Force Survey
ARM,2023,M,25-54,29.001,559.562,LFS - Household Labour Force Survey
ARM,2023,M,55-64,28.445,185.687,LFS - Household Labour Force Survey
ARM,2023,M,GE65,39.848,190.661,LFS - Household Labour Force Survey
ARM,2024,F,15-24,1.254,161.006,LFS - Household Labour Force Survey
ARM,2024,F,25-54,18.364,626.817,LFS - Household Labour Force Survey
ARM,2024,F,55-64,20.991,229.095,LFS - Household Labour Force Survey
ARM,2024,F,GE65,48.069,312.428,LFS - Household Labour Force Survey
ARM,2024,M,15-24,3.81,183.365,LFS - Household Labour Force Survey
