iso3,year,function,sex,share,source
BGD,2021,pension,T,0.5690,ILO - Social Security Inquiry Database
BGR,2013,disab,F,1.0000,ILO - Social Security Inquiry Database
BGR,2013,disab,M,1.0000,ILO - Social Security Inquiry Database
BGR,2013,disab,T,1.0000,ILO - Social Security Inquiry Database
BGR,2013,pension,F,1.0000,ILO - Social Security Inquiry Database
BGR,2013,pension,M,1.0000,ILO - Social Security Inquiry Database
BGR,2013,pension,T,1.0000,ILO - Social Security Inquiry Database
BGR,2014,disab,F,1.0000,ILO - Social Security Inquiry Database
BGR,2014,disab,M,1.0000,ILO - Social Security Inquiry Database
BGR,2014,disab,T,1.0000,ILO - Social Security Inquiry Database
BGR,2014,pension,F,1.0000,ILO - Social Security Inquiry Database
BGR,2014,pension,M,1.0000,ILO - Social Security Inquiry Database
BGR,2014,pension,T,1.0000,ILO - Social Security Inquiry Database
BGR,2015,disab,T,1.0000,ILO - Social Security Inquiry Database
BGR,2015,pension,F,1.0000,ILO - Social Security Inquiry Database
BGR,2015,pension,M,1.0000,ILO - Social Security Inquiry Database
BGR,2015,pension,T,1.0000,ILO - Social Security Inquiry Database
BGR,2016,pension,F,1.0000,ILO - Social Security Inquiry Database
BGR,2016,pension,M,1.0000,ILO - Social Security Inquiry Database
BGR,2016,pension,T,1.0000,ILO - Social Security Inquiry Database
BGR,2017,disab,T,1.0000,ILO - Social Security Inquiry Database
BGR,2018,disab,F,1.0000,ILO - Social Security Inquiry Database
BGR,2018,disab,M,1.0000,ILO - Social Security Inquiry Database
BGR,2018,disab,T,1.0000,ILO - Social Security Inquiry Database
BGR,2018,pension,F,0.9170,ILO - Social Security Inquiry Database
BGR,2018,pension,M,0.9610,ILO - Social Security Inquiry Database
BGR,2018,pension,T,0.9330,ILO - Social Security Inquiry Database
BGR,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
BGR,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
BGR,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
BGR,2022,disab,F,1.0000,ILO - Social Security Inquiry Database
BGR,2022,disab,M,1.0000,ILO - Social Security Inquiry Database
BGR,2022,disab,T,1.0000,ILO - Social Security Inquiry Database
BGR,2022,pension,F,0.8750,ILO - Social Security Inquiry Database
BGR,2022,pension,M,1.0000,ILO - Social Security Inquiry Database
BGR,2022,pension,T,0.9300,ILO - Social Security Inquiry Database
BHR,2011,pension,T,0.4010,ILO - Social Security Inquiry Database
BHR,2019,disab,T,0.2860,ILO - Social Security Inquiry Database
BHR,2019,pension,T,0.4660,ILO - Social Security Inquiry Database
BHR,2021,disab,T,0.2780,ILO - Social Security Inquiry Database
BHR,2022,pension,F,0.3920,ILO - Social Security Inquiry Database
BHR,2022,pension,M,0.5550,ILO - Social Security Inquiry Database
BHR,2022,pension,T,0.4650,ILO - Social Security Inquiry Database
BHS,2011,pension,T,0.8420,ILO - Social Security Inquiry Database
BHS,2019,disab,T,0.5080,ILO - Social Security Inquiry Database
BHS,2019,pension,F,0.7160,ILO - Social Security Inquiry Database
BHS,2019,pension,M,0.7920,ILO - Social Security Inquiry Database
BHS,2019,pension,T,0.7480,ILO - Social Security Inquiry Database
BHS,2020,disab,T,0.5100,ILO - Social Security Inquiry Database
BIH,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
BIH,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
BIH,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
BIH,2019,pension,F,0.4130,ILO - Social Security Inquiry Database
BIH,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BIH,2019,pension,T,0.6950,ILO - Social Security Inquiry Database
BIH,2020,disab,F,1.0000,ILO - Social Security Inquiry Database
BIH,2020,disab,M,1.0000,ILO - Social Security Inquiry Database
BIH,2020,disab,T,1.0000,ILO - Social Security Inquiry Database
BIH,2020,pension,F,0.4380,ILO - Social Security Inquiry Database
